video_id,israel_regierung,palaestinenser_zivil,hamas,westliche_staaten
HiIYIx4gtUg,-0.5,1,-1,-1
p5dgslNi388,1,,,
bitzOXx_sfA,-1,,,-0.5
WKL4VfA_M44,-0.5,1,-1,
zGTn0Yv2SV0,1,,,1
B3Z4iPw-Kr0,,-1,,-0.5
HW7xCmX-fPU,-1,1,,-1
dMM9fqIsI8E,1,-1,-0.5,1
MdiQv4t2Bqw,1,,-1,1
EeKXIdSDTso,,,-1,
UJZxkpiYPCg,-1,0.5,,-1
4PHLY8MbSio,-1,,,-1
huKf_NJrtKs,-0.5,,-1,
JPzI5m4t35I,0.5,-0.5,-1,-0.5
J3yWKywYC2E,-1,1,-1,-1
gzfWA4L_LCs,0,,,
Muy1PgBP4jw,-1,,-1,-1
WQYQNiAL4VY,-1,1,,-1
mrvmK7p7yyk,-1,,,
pveGcuITVYo,-0.5,,,0.5
d_wmwYnKL0Q,0.5,,-1,1
Cfnm4KDqyTw,0,,,
6kEI9iPn_Uw,-1,1,-1,-1
IQAousl_CCM,,,,
bkOylUJoVVo,-0.5,,,0.5
xuzYEsUVKQ8,1,-1,-1,
uCihgYC5NmI,1,,,
0LJkuHvDlqk,0.5,,-1,1
VKUKkWNRs9Q,1,,-1,-0.5
cu2SuIyy1XA,,,,
mmoXU0tRBtA,-1,,-1,
NR0Cg5HUT2Y,-1,,,
sGCdveD0zeI,-1,1,,-1
DHUZLCgrWAs,-0.5,,,0.5
kACQDkvgc9o,,,-1,
vju5peVMKGE,1,,-1,
do9fk2SHimI,-0.5,,-1,1
W40Q3jtiHNI,0.5,1,-1,
sjOUZkQpXiQ,1,,-1,1
ohAOsD6J34A,0.5,1,-1,0
Cf2MJfi9RBY,,,,-1
yQxulXKk3Ok,-1,1,,
DiqCYpB3_hk,0.5,,-1,1
EUE6lQ0Zx5Q,0.5,,-1,1
QFAW4H3Vcb0,,,,
LQ3fBjmMCVI,-1,,,
f_2QDy0Gw0o,0,,0,0.5
R4XxKM6IcBM,,,-1,-1
jNebaQnNWt4,-0.5,,,
cnf7SMdfskQ,1,-0.5,,-1
PHRrM1jZu60,-1,,-0.5,
iD_rOxpbUeE,1,,-1,0.5
MR5zP1-HkK8,-1,0.5,-1,-1
0660_muyc9g,-0.5,0.5,-1,0
5SAAk4OMbqY,,,-1,-1
q4NMDcOYP9Q,-1,,,-1
O08XLTz4wHk,-0.5,,-1,0
d1809LLb2a4,-1,,,-0.5
cRNoMmlR-0k,-1,,-1,-1
gWVgB5Fc5Zg,-0.5,,-1,+1
vwPOQBrLow4,-0.5,,,0.5
PyeJbfjFEhw,,,,
Q34LtIvcL-c,0,,-1,
KWHauBcJHJQ,-1,,,0.5
yqB2PVNk_gg,-0.5,,,
I2s0kEw7UGQ,1,-1,-1,-1
zzr5kxb0TbM,-0.5,0.5,-1,-0.5
XV5pjEo6UXA,-1,,-1,0.5
rh2HNkd-oFE,-1,,-0.5,-1
oKuWzaSdaEw,-1,1,,-1
mRuJp70P060,,,,0.5
lcFOvPHkZxk,1,,-1,
k37fzy81ykY,-1,,-1,
ljyCBg9Wlqc,,,,0
hbopILZKqHg,1,,,1
kHOSeHkl1GI,-1,,,-1
9QUa_8baJFo,-0.5,,,-0.5
Dxrys8xm1aw,0,,,0
WfFtmqjCHd0,0.5,,,0.5
xVZEsQFBKNs,1,,,1
6B5UOxOG2Uo,,,-1,
beZwJh6xKHA,0.5,,-1,0.5
8vCxZy70ZiY,-1,,0,-1
XuQKP_6jrxI,-1,,-1,-0.5
vgO_bFmzsj4,,,,
Wl0tobxqXeQ,-1,,,
90pPJq1v09c,-1,,-1,-1
1fK5XKiVwiQ,,,,
z6p3BO_JxDY,-0.5,,-1,1
NLWY_pIohgk,,+0.5,-1,+0.5
vXm4noih1cY,-1,,,
QC1Yzqgqo-k,-0.5,,-1,1
t-ULXypOZWE,-1,,,1
wGksxPRO1u8,1,-1,-1,-0.5
wny17vIEZPg,,,-1,-1
9UVhSPgk9DY,-0.5,,-1,
O3aLBkflF7I,1,,-1,-0.5
DLlrCpGWbhw,-1,1,-1,-1
45GXeEqPk40,-0.5,,,0.5
0Cxdnn4ZquM,-1,,,
leWHrRKdWlI,0.5,,,-0.5
ya36apZnVyw,,,,0.5
YZiWtaMa2oM,-1,,,1
CD5Hg_athgU,-1,0.5,-1,-1
jzgB5owp7Is,-1,,-0.5,-1
HYxNyxlc_J8,-0.5,,,-1
alx07Du5Rhc,-1,,-1,
QOWelx6uHhU,-1,,-1,0.5
9sap1LmoQdM,0,1,0,1
pJkU3lUdO3U,-1,,,-1
dDRULVVWXy4,-1,,0.5,-0.5
6vx0jCjk3Qw,,,,
Msn3HvwHSCM,,,,
9UeLEmD2RVQ,,1,,
N7yfUb2w9Xs,-0.5,,-1,0
ROrHt-x7zVY,0,,,-0.5
-8nbOfNWrtU,0.5,,-1,1
axOWlyHkvkA,0.5,,-1,-1
eAEGORpwaDc,,,,
74IjmUlLVM8,0,,,-1
joQTKux1KgU,-0.5,,-0.5,1
qTMPWZAJR94,-1,1,-1,1
JBe8CtWs9iU,0.5,-0.5,-1,-0.5
ZDtlrzCF5LE,-0.5,,-1,1
ZVa-Vn6l8lU,-1,,-1,
V4F3NMLFiMs,0.5,,-1,0.5
3elQC1Dm7oE,-1,,,1
Pv5Uezr0RxI,,,,0.5
JCoAY-F-nxE,-0.5,,-1,
dZGQU8nlU6U,,1,,
yz3sAMUI4rM,0.5,,-1,
wawHtH0I33w,1,,-1,
UBQkF3aV87I,-0.5,,-1,-0.5
ep4G86QiURc,0,,-1,
qytxiEEPOEA,1,,-1,1
f8wN9siR6Mk,-1,1,,-1
rcgvMHxKn7E,-0.5,,,
Joq3DfYBHdk,-1,,,0
RCKd4CzJ9U0,-1,,-1,
FRmXg92xQp0,0.5,1,-1,-0.5
WaJgJfSwilo,-1,0.5,,-1
VDaAOyAU8_E,-1,,-1,-1
GlQRLz046VI,1,-0.5,-1,-0.5
BFMxmdcNfTs,,,-1,
Zmg69YLB428,-1,1,,-1
5b_i9kl4k6U,-1,,0.5,-0.5
q5ObXD81QZ8,1,-1,-1,-0.5
1iNwAWeQs5I,1,,-1,1
vqaqoGgP6RI,-1,,,-0.5
eEyU-OBAzfI,-1,,-1,0.5
7I0uhXIJ_OY,+0.5,,,-0.5
RGJvPlVzULw,-1,,-1,-1
2YqrEffKQAE,,,,
oDx3xhaHyDo,+0.5,,-1,
G1e7qy51IiA,,,,
U1eSvhBAnTQ,0.5,,-1,0.5
SKV-SA7xiRA,0,,-1,-0.5
ht8E_DT3y_o,-1,,,-0.5
UJ6dFCQaiVQ,-0.5,,-1,-0.5
D3PBX2ZxIYk,-1,,,0
dIzf_tUBxhE,-1,,,
rTxlc_Te6xI,-1,,,
RkDPYyJFmF8,,0,,0
xzIXDe5T5AQ,0.5,,-1,
N8N-mV7_uWk,0.5,,-1,-1
4tMdq9Ryyn0,1,,-1,
cIhWEvmf-Gs,1,,-1,-1
OY3IRjIHTsA,-1,0.5,,-1
dpkZir_TNeI,+0.5,,,-1
kqg0X1ck6r4,-1,,,
_MFPu0NH6ZY,-0.5,,-1,0.5
f-Xezp6CKE0,0,0.5,-1,-1
65NkLbJydOM,1,,-1,-1
Y9cJWMr1deE,-1,,-1,-1
r3pEKFcyWjU,1,,-1,1
I9BP8zVLkFA,-1,,-1,
eNjfjRjuG1o,,,-1,
4SJxzBu8n-A,-0.5,,-1,1
57NmWsx5Wuo,,,,-1
qCZGNlwPbgE,1,,,1
KI6C_8NNcJc,-0.5,,,-1
aVw6D4bbVzg,0,,,-1
SPnN1DG_6gk,1,,-1,-1
nNdGOz1OllI,-0.5,,,0.5
-jLXKOQ0Mw8,0.5,,,0.5
7yL8D1HDd0U,-0.5,,,1
44jIsEq6fBo,-1,,-1,1
YdG1Lv0cfiw,1,,-1,1
XJ3f3VuxCTo,-1,,,
iMgKQrEgPN8,-1,,-1,-1
eofClC-1kaw,-0.5,,-1,-0.5
Ku7hW4B43vE,0,,,-1
Cr4aa4jKwBc,-1,1,,-1
bIzAec5SqW8,-1,,,-1
T16W2zFXgN4,-0.5,,,
yMyVW14jPbM,-1,,-1,-0.5
v0ryOoCo5Cc,,,-1,
XfZHw4Zvan4,-1,1,,-1
rVSv7qw3BAU,-1,,,0.5
tT1Uz3trheo,-1,,-1,-0.5
2SbEnFvaG0c,0,,,
Og9p9NeM3qI,-0.5,,-0.5,
X3PAtjzKQG0,-1,1,,-1
LmrFZtmkqrI,-1,,,-0.5
7w4eF9_Rpco,-1,1,,-1
dpsbBcq_5fY,1,,,-1
H49KPxW8Mh4,-0.5,,-1,-0.5
_yZBRFpkjRE,,,,
fOI-JaHbnTI,-1,,-1,-0.5
VK3Z7I6Bmbs,,,,-1
4nEpdrdetKQ,-1,0.5,-1,-0.5
BVJDsm5ABwA,-1,0.8,-1,0.8
1PgxpREs-y4,-1,,,0.5
4U-RsyeYJzw,-1,,-1,0.5
ApAZy9z-30k,1,-1,-1,-1
cY3KKITRY5s,1,,-1,-1
xIcbZFcr-0k,,,,
fo5DUR4tobk,0.5,,,
KdsVjIc30NY,-1,,-0.5,1
E0o_CjMY_Z8,0.5,,,0.5
Rzc4vMWGua0,-1,0,-1,-1
KWzRKLqsJkg,-0.5,,,
DbhVvKuDtTg,1,,-1,1
F2cVwMxj3Ms,0.5,,-1,0.5
FuXgVt6pNHo,-0.5,,-0.5,-1
Rx_hypsFVqc,-1,,,-0.5
px8BH99cKPY,,,,-1
C__0HxDldEU,0,,,0.5
Oxn3gjPHWz0,-1,,,-0.5
xn8yk53o_dY,-1,,,-0.5
8sayUC_VqoQ,-0.5,,,-1
4CDG63Wg8bA,,,-1,0.5
EZzQtfrF4Sg,1,-0.5,-1,-0.5
s-30_Q4th2Y,,,-1,0.5
iVxoCUIuXrQ,-1,,,
mJSgxs1K4xo,-0.5,,-1,-0.5
wKf3L515TYc,0.5,,-1,
RoOI7UJ9VYA,0.5,0,-1,-1
wjoVUXv80Cs,1,,-1,
Wov0mSIMtus,0.5,,-1,1
v1f4gGjpQnM,-1,,,-0.5
YPX3XPHMDV8,-1,,,1
dmLQq9l5Hmg,-1,,,
8rL2JmqyNhk,-1,,-1,0.5
dndtbrNJozg,1,,-1,1
OTs1h7bDDnw,-0.5,,-0.5,-1
OhN7eYZJOUs,-1,,0,-0.5
PPr3qLCkRyE,,,-1,
CU-eXIOI69s,-1,0.5,-1,
YNIcFMYwI4U,-1,,0,-1
7zmb64YIjnA,-1,,,
X3ePMxv1LIE,-1,,,-1
r3vcoocEvFE,,,,-1
a4SoOLD_QOA,-0.5,,,
MXfRTN5ZDSE,1,,,0.5
mgcK7P3swBE,0,,-1,0
T0UOxucCc7c,0,,-1,
sVBPepScYb8,-1,,,1
