video_id,title,channel_id,channel_title,published_at,time_delta,israel_regierung,palaestinenser_zivil,hamas,westliche_staaten,ideology_channel_mean,populism_channel_mean,ideology_group,populism_group,month
TOz9XqqKibo,Talk im Hangar-7: Krieg in Israel - Zerreißprobe für unsere Werte? | Kurzfassung,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2023-11-03 14:30:22+00:00,0,-1.0,1.0,-1.0,-0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2023-11
MoPYqgyxGg4,Talk im Hangar-7: Israel im Krieg – Versinkt die Welt im Terror? | Kurzfassung,UC-7qscJH_SncZvCm9Ty014Q,ServusTV On,2023-10-13 12:30:04+00:00,0,-1.0,0.5,-1.0,-0.5,6.236842105263158,5.947368421052632,Rechts,Mittel,2023-10
qiotZ83yMnE,"Kichererbse statt Krieg: Nahost-Fusion im Restaurant ""Kanaan""",UC1XrG1M_hw8103zO2x-oivg,Galileo,2024-01-09 11:30:32+00:00,3,,1.0,-1.0,0.5,4.735294117647059,1.333333333333333,Mitte,Niedrig,2024-01
TWyoz-h9YPs,Israelischer Botschafter vs. ARD und ZDF,UC0RBJwg8ZfRM8TLGOKTpArA,_horizont_,2023-10-10 08:12:08+00:00,0,0.5,,-1.0,,5.615384615384615,3.115384615384615,Rechts,Mittel,2023-10
RHRIPxrmGEU,"Proteste in Iran: Welche Rolle spielen Israel, die USA und Reza Pahlavi? – Shortcut | DER SPIEGEL",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2026-01-13 17:45:04+00:00,27,-1.0,,,-1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2026-01
v82Ge-8YqQE,"Rückkehr nach Gaza: Trümmer, Ruinen, Versorgungsnot | DER SPIEGEL Shorts",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-15 11:30:53+00:00,24,0.5,,0.5,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
G0GIWaqvdxc,Rückkehr nach Gaza: Chaos in der zerstörten Stadt | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-15 11:00:25+00:00,24,0.5,,0.5,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
nzp6uAcycO4,Trumps Triumph-Trip durch Nahost | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-15 09:01:16+00:00,24,,,,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
ABtikNQZoG4,"Friedensgipfel: Israel jubelt, die Welt staunt | DER SPIEGEL",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-14 15:00:16+00:00,24,,,-1.0,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
uN3gZmjUxLU,Die Hamas-Geiseln sind frei | DER SPIEGEL Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-13 15:30:38+00:00,24,,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
rWpRGH_eMHQ,Trump verkündet das Ende des Krieges: Freilassung aller israelischen Geiseln | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-13 14:01:20+00:00,24,0.5,,-1.0,0.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
KdsVjIc30NY,Israel-Hamas-Deal: Das passiert jetzt vor Ort – Shortcut | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-10 15:00:42+00:00,24,-1.0,,-0.5,1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
d1RXwUhNoVw,Wie geschwächt ist die Terrororganisation Hamas? | DER SPIEGEL Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-10 12:30:54+00:00,24,,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
hrhI0VwZXfM,Trumps Nahost-Friedensplan | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-10 10:15:05+00:00,24,0.5,,0.5,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
Og9p9NeM3qI,Das Ende des Gaza-Kriegs? | DER SPIEGEL Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-10-09 14:30:18+00:00,24,-0.5,,-0.5,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-10
Xty3Z4ciYzc,"Beendet dieser Plan den Krieg? Trump und Netanyahu einig, Hamas unter Druck – Shortcut | DER SPIEGEL",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-30 12:15:09+00:00,23,-0.5,,-1.0,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
_5byzLr7JT4,US-Friedensplan für Gaza: Trump verordnet den »ewigen Frieden« | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-30 11:01:05+00:00,23,0.5,,-0.5,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
CFQmtInQlqk,Benjamin Netanyahu bei der Uno: Nicht mit ihm | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-29 15:00:19+00:00,23,-1.0,,-1.0,0.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
Xj-Nd7jmhu0,Rettung unter Beschuss: Sanitäter kämpfen ums Überleben in Gaza | SPIEGEL TV Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-29 10:30:19+00:00,23,-1.0,,,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
6F3_iR4OvB4,Inside Gaza: Reportage aus einer zerstörten Stadt | SPIEGEL TV,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-26 06:21:16+00:00,23,-1.0,0.5,,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
k6e3UKzM73I,Zwischen Solidarität und Hass: Wie der Gazakrieg deutsche Straßen spaltet | SPIEGEL TV,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-25 06:00:44+00:00,23,-1.0,,-1.0,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
3bnm-4MKYaY,Anerkennung von Palästina: Wer regiert bei einer Zweistaatenlösung? – Shortcut | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-23 17:15:00+00:00,23,-1.0,,-1.0,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
kACQDkvgc9o,Die Gegenrednerin: Karoline Preisler gegen Israelhasser und Reichsbürger | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-19 12:01:27+00:00,23,,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
DLlrCpGWbhw,"Heidi Reichinnek über Charlie Kirk, Gaza und ihren Starkult – Spitzengespräch | DER SPIEGEL",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-18 18:00:05+00:00,23,-1.0,1.0,-1.0,-1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
gRbQe80z4mU,Einmarsch in Gaza-Stadt: Was will Israel wirklich erreichen? – Shortcut | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-17 17:00:58+00:00,23,-1.0,,-1.0,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
U6K3FeE48b0,Rauchsäulen über Katar: Israel greift Hamas-Anführer in Doha an | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-10 09:18:19+00:00,23,-0.5,,,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
v7UCLw0bY58,Gezielte Tötung von Unbewaffneten: Israelischer Soldat aus München unter Verdacht | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-09-09 15:18:05+00:00,23,-1.0,,,0.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-09
X65260eEJNM,"»Beendet den Krieg, jetzt!« – Großdemonstration in Israel | DER SPIEGEL Shorts",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-08-20 08:30:18+00:00,22,-1.0,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-08
4_6K9tYN1ic,»Für uns ist er ein Verbrecher« – Proteste gegen Netanyahu | DER SPIEGEL Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-08-11 18:30:09+00:00,22,-1.0,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-08
X8AvBzwUK9w,Gaza: Kampf um die Nahrungsmittel | DER SPIEGEL Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-08-11 16:30:13+00:00,22,-1.0,,,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-08
BNIFu1qTHRs,Tel Aviv bebt: Proteste gegen Netanyahus Gaza-Pläne | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-08-11 15:00:20+00:00,22,-1.0,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-08
Yb4eOTeTDcM,Kritik an »Airdrops«: Bundeswehr-Hilfslieferungen für Gaza | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-08-11 11:01:07+00:00,22,-1.0,,,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-08
fJOeOY4yKCk,USA treten in neuen Nahostkrieg ein: Trump über US-Luftangriffe | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-06-22 08:06:49+00:00,20,0.5,,,0.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-06
_xUjR1YPM1A,Greifen die USA ein? – Trump zum Krieg in Nahost | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-06-19 12:30:45+00:00,20,0.5,,,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-06
jU1lU0c25XY,Israel im Krieg mit Iran: »Es geht Netanyahu nicht nur um die Atombombe« – Shortcut | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-06-17 17:00:57+00:00,20,-1.0,,,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-06
pDwzAp5C6dM,Iran-Israel-Konflikt: Bombeneinschlag während Livesendung | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-06-17 15:01:30+00:00,20,-1.0,,,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-06
ROQRVubaJ4c,"Trumps Reaktion auf Israel-Iran-Konflikt: »Ich hoffe, es wird einen Deal geben« | DER SPIEGEL",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-06-16 15:00:44+00:00,20,0.0,,,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-06
fvAA8XiOqI4,Irans Gegenschlag: Explosionen in Israel | DER SPIEGEL Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-06-16 12:30:42+00:00,20,0.0,,,0.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-06
pEmAwuCVFbo,"Humanitäre Lage in Gaza: »Sind Menschen, die einfach nur leben wollen« | DER SPIEGEL Shorts",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-05-21 15:30:34+00:00,19,-1.0,,-1.0,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-05
aAfGxxj3ekw,Trump auf Geldreise: US-Präsident besucht Nahost-Staaten | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-05-14 10:00:01+00:00,19,,,,0.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-05
Yv3ezPZSZcM,Während Liveübertragung: Raketeneinschlag in Krankenhaus im Gazastreifen | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-03-25 16:00:39+00:00,17,-0.5,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-03
y9AuisP8mLk,Rückkehr in den Norden Gazas: »Familie seit anderthalb Jahren nicht gesehen« | DER SPIEGEL Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-01-27 14:30:26+00:00,15,0.0,0.0,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-01
CT4jIo-ho54,Freilassung in Gaza: Der Moment der Geiselübergabe | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2025-01-20 14:00:14+00:00,15,,,,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2025-01
tP3bixzYcYc,Israelische Attacken auf Ziele in Syrien: Angriffe auf Assads Waffenarsenal | DER SPIEGEL Shorts,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-12-11 14:30:26+00:00,14,0.0,,,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-12
PmENxAa8i0g,Frieden im Widerspruch: Israel-Feinde und Putin-Versteher im Schulterschluss | SPIEGEL TV,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-10-09 06:00:18+00:00,12,-0.5,,,-1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-10
yqB2PVNk_gg,Geschichte der Hisbollah: Der mächtigste Außenposten des Irans | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-10-02 12:01:14+00:00,11,-0.5,,,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-10
xF4sjMlpKQ4,Eskalation in Nahost: Israels dritte Front | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-10-01 09:00:52+00:00,11,0.0,,,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-10
A4Emr1jCCkI,Eine gegen alle: Wie Karoline Preisler gegen Israel-Hasser protestiert | SPIEGEL TV,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-09-30 05:30:03+00:00,11,0.5,,-1.0,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-09
8HSIotVbOO4,Eskalation in Nahost: Raketenterror auf Tel-Aviv | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-09-27 14:00:06+00:00,11,-0.5,,,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-09
EQWBTeqRntU,Flucht vor Israels Angriffen im Libanon | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-09-25 16:00:22+00:00,11,0.0,,,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-09
C__0HxDldEU,Attacken auf Hisbollah-Pager: Zündschnüre am Pulverfass zwischen Libanon und Israel | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-09-20 15:00:20+00:00,11,0.0,,,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-09
MwBgbrWLDeY,Bewaffneter vor israelischem Konsulat in München | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-09-06 09:30:06+00:00,10,,,,1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-09
7iRKPLy62_c,Massenprotest in Israel: Generalstreik für einen Geiseldeal | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-09-03 12:00:07+00:00,10,-1.0,,-1.0,1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-09
jhRlcsBVB2k,Wie steht ein israelisches Dorf zu Gaza? – Shortcut | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-08-13 17:00:36+00:00,10,-0.5,1.0,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-08
x4lJsTZFYlA,Israel soll Hisbollah-Kommandeur Fuad Shukr getötet haben | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-08-01 15:01:02+00:00,9,1.0,,-0.5,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-08
2pcKCpHr3qg,Gewaltsame Proteste in Israel gegen Inhaftierung von Soldaten | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-07-31 10:00:03+00:00,9,-0.5,,0.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-07
W6llk9G1c_Y,Israelischer Luftangriff auf Rafah Videoaufnahmen zeigen zerstörtes Vertriebenenlager | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-05-29 13:00:27+00:00,7,-0.5,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-05
VRD6ssWkr5U,Dramatische Versorgungslage in Gaza | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-05-10 13:00:28+00:00,7,-1.0,,-1.0,1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-05
MaP62DGMWUE,Antiisraelische Proteste an US-Universität | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-04-30 15:02:00+00:00,6,,,,0.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-04
lt-HXYdapUw,Nahostkonflikt auf US-Campus | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-04-23 15:00:41+00:00,6,,,,1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-04
nQDNf7HyW3c,Livestream: Das sagt Baerbock zur Lage in Nahost | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-04-19 12:15:49+00:00,6,-1.0,,-1.0,1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-04
pI_Y9-XzedI,Mutmaßlicher israelischer Angriff auf Iran | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-04-19 12:00:50+00:00,6,-0.5,,,0.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-04
nwZwXilQNl4,Wer ist hier der Böse? Spitzengespräch zur Eskalation zwischen Iran und Israel mit Omid Nouripour,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-04-17 18:55:52+00:00,6,-1.0,,-1.0,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-04
OV28MH9o9ak,Israels Verteidigung: So haben Kampfjets iranische Drohnen abgewehrt | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-04-15 16:00:16+00:00,6,0.5,,,1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-04
OqCr47g9Q7g,"Irans Angriff auf Israel: Einschläge, Abwehrfeuer, Detonationen | DER SPIEGEL",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-04-15 13:08:58+00:00,6,,,,1.0,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-04
cXTwWSOtd0Q,Angehörige klagen für israelische Geiseln am IGH in Den Haag | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-02-16 12:00:29+00:00,4,-1.0,,-1.0,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-02
yJcxRht9xfE,"Livestream: Ukraine, Gazakrieg, Nato-Krise – das sagen Stoltenberg und von der Leyen | DER SPIEGEL",UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-02-16 10:35:02+00:00,4,,,,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-02
Z2jpRe2ISng,Videoanalyse zu Israels Plänen: Netanyahu unter Druck | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-02-14 11:00:28+00:00,4,-0.5,,-1.0,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-02
3CtmDADHenM,Proteste gegen Juden: Nahostkonflikt an der Freien Universität Berlin | SPIEGEL TV,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-02-14 06:00:02+00:00,4,,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-02
1rpKJ8pZpmk,Israels Angriff auf Rafah: Ist das schon die angekündigte Offensive? | DER SPIEGEL,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-02-12 15:30:00+00:00,4,0.0,,-1.0,0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-02
Zf9rm_OmHog,Dauerfeuer auf den Gazastreifen – Krieg gegen die Hamas | SPIEGEL TV,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2024-02-10 07:00:14+00:00,4,-0.5,,-1.0,-0.5,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2024-02
LsI0jgrIb3U,Avigail Edens Freilassung aus Hamas-Händen: »Sie hat ihren vierten Geburtstag als Geisel erlebt«,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2023-11-27 12:09:25+00:00,1,1.0,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2023-11
o4scwkk7vcM,Israel: 50 Geiseln sollen aus Gewalt der Terrororganisation Hamas freikommen - nur wer?,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2023-11-22 16:15:06+00:00,1,0.0,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2023-11
dnq2tk1twzY,Israel veröffentlicht Bilder aus Schifa-Krankenhaus: Überwachungsvideos sollen Geiseln zeigen,UC1w6pNGiiLdZgyNpXUnA4Zw,DER SPIEGEL,2023-11-20 16:00:29+00:00,1,0.0,,-1.0,,4.871794871794871,0.6585365853658537,Mitte,Niedrig,2023-11
