title,confidence_score,politics_classification,video_id,channel_id,published_at,time_delta
DIE GEHEIME FRUCHT! 😱🥭 [REELS] REACTION - Leon Lovelock,0.125922754406929,0,TSk-hjI9lWk,UC-Weu4-hPc3K-cVusdyQg4g,2023-07-30 17:18:26+00:00,-3
DIE GRÖßTE VERSCHWÖRUNG DER WELT (3) 🌎🤯 [DOKU] REACTION - Leon Lovelock,0.9939847588539124,1,IH0QGqULAyw,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-13 11:00:11+00:00,-2
"SCHÄDEN DURCH ""CORONA"" MAßNAHMEN! 😱😷 [DOKU] REACTION - Leon Lovelock",0.531330943107605,1,WMiSe7pKuLs,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-11 13:00:29+00:00,-2
"""ES FEHLT AN STÄRKE IN DEUTSCHLAND!"" 😯 Shi Heng Yi [VORTRAG] REACTION - Leon Lovelock",0.9937283396720886,1,3s4bnQYG2UY,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-18 13:00:06+00:00,-2
"CIA, DIE ADAM & EVA GESCHICHTE & DER POLSPRUNG 🤯🍎 [REELS] REACTION - Leon Lovelock",0.9869731664657592,1,emwXT2E7FrY,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-29 13:00:34+00:00,-2
UNSERE GESELLSCHAFT IST GEISTESKRANK 😵 [INTERVIEW] REACTION - Leon Lovelock,0.9984781742095948,1,8L5TW3ymm-I,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-31 13:00:08+00:00,-2
3er WELTRKIEG SZENARIO 🤯💣  DER GEHEIME NATO PLAN! [DOKU] REACTION - Leon Lovelock,0.963711678981781,1,rptf48GRRsU,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-06 13:00:46+00:00,-2
DAS WICHTIGSTE VIDEO SEIT LANGEM! 🥹 [KURZFILM] REACTION - Leon Lovelock,0.6684475541114807,1,5WMyOtM-QIo,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-23 05:00:02+00:00,-2
WAS VERBIRGT SICH IN DER ANTARKTIS!? 😱🧊 [DOKU] REACTION - Leon Lovelock,0.8789390921592712,1,W6tWgoue8Vg,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-20 11:00:32+00:00,-2
"DIE WAHRHEIT über STAAT, DEMOKRATIE, WAHLEN, POLITIKER & BÜRGER 😱 [DOKU] REACTION - Leon Lovelock",0.9960469007492064,1,-Hx5wF3cxGQ,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-03 11:00:00+00:00,-2
ERNST WOLFF über DEN WAHREN PLAN DER ELITEN 😱 [INTERVIEW] REACTION - Leon Lovelock,0.9908123016357422,1,r3p07JPQo6E,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-10 13:00:42+00:00,-2
HEFTIG 😱 GEHEIMNISSE  DER ANTARKTIS! 🧊👽 [DOKU] REACTION - Leon Lovelock,0.9501803517341614,1,0_f7vNBM2w4,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-05 13:00:00+00:00,-2
"DIESE STÄDTE WOLLEN AUTOS, FLIEGEN & FLEISCH VERBIETEN! 😱 [DOKU] REACTION - Leon Lovelock",0.7683857679367065,1,TvAbZulM9ks,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-30 13:00:31+00:00,-2
Hirnforscher: DAS MÜSST IHR HÖREN BEVOR ES ZU SPÄT IST! 😱🧠  [DOKU] REACTION - Leon Lovelock,0.0509763322770595,0,hJ-wHS4eNUk,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-02 13:00:35+00:00,-2
KEINE FREIE MEINUNG MEHR! EU ZENSURGESETZ IST IN KRAFT 🇪🇺😱 [DOKU] REACTION - Leon Lovelock,0.3932684957981109,0,XXb_kd3jVnI,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-04 13:00:22+00:00,-2
HARALD LESCH WARNT VOR ALIENS 👽 GEHT BLUEBEAM LOS!? 😱 [DOKU] REACTION - Leon Lovelock,0.4808138906955719,0,gs2_GdJPi7A,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-28 13:00:28+00:00,-2
SIE LÜGEN ÜBER DIE MACHT VON VITAMIN D 😱💊 [VORTRAG] REACTION - Leon Lovelock,0.4871854186058044,0,hKlhkGW98is,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-21 13:00:36+00:00,-2
LEBEN WIR IN EINER SIMULATION!? 🤯 DAS HOLOGRAPHISCHE UNIVERSUM! [TALK] REACTION - Leon Lovelock,0.0143025694414973,0,MKpj6ZAi16Q,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-17 13:00:28+00:00,-2
SO BRICHST DU AUS DER MATRIX AUS! 😲 [VORTRAG] REACTION - Leon Lovelock,0.0152329327538609,0,h837syot4FA,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-19 12:00:36+00:00,-2
ES WIRD ERNST! DEUTSCHLAND STÜRZT AB 😱 [DOKU] REACTION - Leon Lovelock,0.4385597705841064,0,wyQwf7T1Y9Y,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-25 12:00:56+00:00,-2
EHEMALIGER ARD JOURNALIST PACKT AUS 😱 über MEDIEN MANIPULATION!  REACTION - Leon Lovelock,0.0050652516074478,0,bgXJC1qdRpo,UC-Weu4-hPc3K-cVusdyQg4g,2023-08-12 11:00:24+00:00,-2
"WISSENSCHAFT IST DIE NEUE RELIGION, DIE MATRIX, JUGEND & MATERIALISMUS! RAIK GARVE & LEON LOVELOCK",0.7508268356323242,1,76VHo9L0t2Q,UC-Weu4-hPc3K-cVusdyQg4g,2023-10-03 19:18:47+00:00,-1
DIE WAHRHEIT ÜBER KLAUS SCHWAAB & DAS WEF! 😱 [DOKU] REACTION - Leon Lovelock,0.6101776361465454,1,zqgJOY41Oh8,UC-Weu4-hPc3K-cVusdyQg4g,2023-10-04 12:00:57+00:00,-1
DIE LAUTERBACH VERSCHWÖRUNG 😳 [DOKU] REACTION - Leon Lovelock,0.9365176558494568,1,XVGnSVw39eg,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-30 11:00:32+00:00,-1
DIE WAHRHEIT über AREA 51! 😱 [DOKU] REACTION - Leon Lovelock,0.9194257259368896,1,eQuMannO42Y,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-28 13:00:36+00:00,-1
DAS WIRD DIE WELT VERÄNDERN! 🤯 [DOKU] REACTION - Leon Lovelock,0.9959731698036194,1,c581bNgfbqA,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-09 13:00:34+00:00,-1
KETZER DER NEUZEIT IST ZU RADIKAL GEWORDEN! 😠 [DOKU] REACTION - Leon Lovelock,0.9530133605003356,1,0Jz3sRyZP0E,UC-Weu4-hPc3K-cVusdyQg4g,2023-10-05 12:00:01+00:00,-1
WIE TIK TOK UNSERE GESELLSCHAFT ZERSTÖRT! 🤯🤡 [DOKU] REACTION - Leon Lovelock,0.9988991022109984,1,RB8D33DfGYY,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-11 13:00:16+00:00,-1
MEINE REAKTION auf ICH WÄHLE AFD | Change my Mind 😱 [STRAßENUMFRAGE] - Leon Lovelock,0.9951041340827942,1,MhjRPD4Ps1c,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-29 11:00:27+00:00,-1
DAS GEHEIMNIS DER BUNDESLADE 😱 [DOKU] REACTION - Leon Lovelock,0.9976948499679564,1,dTSp5rWWdrU,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-15 13:00:36+00:00,-1
WURDE DIE MONDLANDUNG GESTELLT !? 😱🎥🌗 [DOKU] REACTION - Leon Lovelock,0.7036131024360657,1,NgVplxFvecs,UC-Weu4-hPc3K-cVusdyQg4g,2023-10-01 10:00:13+00:00,-1
KLAUS SCHWAB 's TOCHTER PACKT DEN WAHREN PLAN AUS! 😱🌎 [DOKU] REACTION - Leon Lovelock,0.9400236010551452,1,7d-5mIdXevk,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-10 11:00:10+00:00,-1
DIE GEHEIME GRIECHISCH/RÖMISCHE ROUTINE! 😱 [DOKU] REACTION - Leon Lovelock,0.9321451187133788,1,NksUzVrZ850,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-07 17:35:58+00:00,-1
"DER ""WUNDERHEILER"" BRUNO GRÖNING! 😱 [BIOGRAFIE] REACTION - Leon Lovelock",0.0755165889859199,0,xlDqSHqAUgI,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-27 12:00:48+00:00,-1
DAS IST DIE WAHRE MATRIX 😱 UND SO BRICHST DU AUS! [DOKU] REACTION - Leon Lovelock,0.1098489314317703,0,PZBtEfznLCk,UC-Weu4-hPc3K-cVusdyQg4g,2023-10-06 12:00:22+00:00,-1
"GEHEIME BOTSCHAFT IN ""DAS LETZTE ABENDMAL"" 😱 [DOKU] REACTION - Leon Lovelock",0.0185287985950708,0,zGTHOKn3pxs,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-16 13:00:48+00:00,-1
UNSERE NEUE WELT 😔📲💆🏾‍♂️ [KURZFILM] REACTION - Leon Lovelock,0.1505900770425796,0,KeIsRzr1-B8,UC-Weu4-hPc3K-cVusdyQg4g,2023-10-03 12:00:12+00:00,-1
VERBOTENES (CIA) BUCH PROPHEZEIT WELTUNTERGANG ! 😳 [DOKU] REACTION - Leon Lovelock,0.1505588591098785,0,b64uKe2ijn8,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-14 13:00:34+00:00,-1
GEHEIME UFO VIDEOS VERÖFFENTLICHT von US REGIERUNG 😳🛸👽 [DOKU] REACTION - Leon Lovelock,0.1185891032218933,0,A0I5GOzo_W8,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-08 13:00:08+00:00,-1
"EINGEWEIHTER IN DAS TEMPLER GEHEIMNIS PACKT AUS ! SEELE, GOTT, MEDIZIN - RAIK GARVE & LEON LOVELOCK",0.0002959570847451,0,Jy3mwKJMBZ4,UC-Weu4-hPc3K-cVusdyQg4g,2023-10-02 18:00:05+00:00,-1
ALIEN MUMIE GEFUNDEN IN MEXICO 😱👽SIND DIE ECHT!? [DOKU] REACTION - Leon Lovelock,0.0059861382469534,0,myDafb4GFqQ,UC-Weu4-hPc3K-cVusdyQg4g,2023-09-17 13:00:39+00:00,-1
Alarmstufe Rot an deutschen Krankenhäusern,0.1245853006839752,0,SIgdeBRPdZo,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-01 17:12:49+00:00,-3
Top 10 Kaffeeanbauländer,0.0421271137893199,0,qfjrUtPfNFI,UC1lSJPfMswLZcpyfzmkX5HA,2023-07-12 11:05:47+00:00,-3
„In Europa begann alles mit Bücherverbrennungen“,0.0800692811608314,0,DhUHV2IlfRQ,UC1lSJPfMswLZcpyfzmkX5HA,2023-07-31 10:53:56+00:00,-3
Tagesschau gibt WDR-Moderatorin als Kundin aus,0.3937346339225769,0,ShubHF9zRVU,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-04 13:36:57+00:00,-3
Jahrestag der Wiedereröffnung der Hagia-Sophia-Moschee,0.0493594072759151,0,e8IXcEvTWFE,UC1lSJPfMswLZcpyfzmkX5HA,2023-07-25 08:06:14+00:00,-3
Koranschändung unter Polizeischutz in Dänemark,0.0448060892522335,0,Ss-iUEWY3do,UC1lSJPfMswLZcpyfzmkX5HA,2023-07-27 06:20:30+00:00,-3
Istanbul: Traditionelle Kunst im Eirene-Turm,0.0024438863620162,0,SAQq_i8V0qs,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-01 08:05:20+00:00,-3
Frau zeigt Widerstand gegen Koranverbrennung,0.0119380382820963,0,9lYxHIwjefg,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-04 13:56:55+00:00,-3
Schiffspassagen im Panamakanal eingeschränkt,0.6220002174377441,1,I_Eu6OeX8MI,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-22 06:32:46+00:00,-2
Frustrierte Passagiere am Frankfurter Flughafen,0.515863835811615,1,d1Z8UM2WvzU,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-18 05:43:22+00:00,-2
Zu Besuch bei der Luft- und Raumfahrtmesse Teknofest,0.1299538165330886,0,RecjKX_NT8s,UC1lSJPfMswLZcpyfzmkX5HA,2023-09-02 11:50:27+00:00,-2
Deutscher Weltmeister Furkan Altun,0.0623167678713798,0,3H-0_Vv8RNA,UC1lSJPfMswLZcpyfzmkX5HA,2023-09-03 08:02:00+00:00,-2
„Wie lange musstest du auf einen Arzttermin warten?”,0.0624595806002616,0,MFMzdv5cdk8,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-23 13:14:10+00:00,-2
"NSU: Mit euch (Muslimen) machen wir es so, wie wir es mit den Juden gemacht haben",0.20236437022686,0,zxHIMazRWRY,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-09 10:02:36+00:00,-2
Wer ist Jewgeni Prigoschin?,0.4026269316673279,0,SxKYgMfw_8Q,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-24 12:31:14+00:00,-2
Europol-Bericht: PKK in EU aktiv,0.4916999936103821,0,QqKjxJZvlYc,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-12 09:02:04+00:00,-2
Kioskbesitzer zu Räuber: „Hättest früher kommen müssen”,0.0227591581642627,0,_0jSZAlHo1Y,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-16 13:35:16+00:00,-2
Australische Polizei verschrottet Raser-Auto,0.1287988275289535,0,nOVi2RKZthM,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-22 11:57:45+00:00,-2
Erste Ärztin der Republik Türkiye: Dr. Safiye Ali,0.0075333062559366,0,3Y1xWCCS3GA,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-22 08:31:06+00:00,-2
Sechs Monate nach den Erdbeben in Türkiye,0.2833845913410187,0,e8vCt9nqy-A,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-09 09:58:40+00:00,-2
Deutscher Brunnen: Zeichen der Freundschaft,0.0012018913403153,0,0MjYXSViva0,UC1lSJPfMswLZcpyfzmkX5HA,2023-08-28 05:56:42+00:00,-2
Streit zwischen Musk und Außenamt um Geflüchtete in Italien,0.6896714568138123,1,Lpj0FOAQ2Rw,UC1lSJPfMswLZcpyfzmkX5HA,2023-10-02 14:20:11+00:00,-1
Aserbaidschanischer Botschafter: „Armenien missbraucht Latschin-Korridor“,0.9559042453765868,1,qRPL76vvocw,UC1lSJPfMswLZcpyfzmkX5HA,2023-09-08 08:45:56+00:00,-1
