,video_id,video_type,ideology_score,populism_score
57,TsLocch55RI,Standard,8.0,8.0
58,704sTp48fSM,Standard,-1.0,0.0
59,PbX1ewIEtVM,Standard,5.0,0.0
60,fxpqYNCwTPc,Standard,-1.0,0.0
61,YHNUcmA4FCo,Reaction,8.5,9.0
62,NZ7J0xjifR0,Standard,-1.0,0.0
63,QHH89mWggrM,Standard,8.0,8.0
64,YkZxD0Dw7dk,Standard,6.0,7.0
65,e93l7SL6lkg,Reaction,5.0,0.0
66,5j7R4yvHk0g,Standard,9.0,7.5
67,I2--OsMZVZk,Standard,-1.0,0.0
68,2maSxUfSBE0,Standard,5.0,0.0
69,6w6MBsZEgW4,Standard,7.0,7.5
70,dJabC0t13-w,Standard,9.0,9.0
71,TvvDQM5z2Qk,Standard,5.0,0.0
72,TFOnSl6dw60,Standard,-1.0,0.0
73,ZjQGLE_7J5c,Standard,5.0,0.0
74,3WNy0mJXW-0,Standard,5.0,0.0
75,2_jbEnIGD3g,Standard,8.5,9.0
76,k6qJo9F0h50,Standard,-1.0,0.0
77,qAycz0ZvXMw,Standard,3.5,0.0
78,CtzloSSQlKA,Standard,8.5,8.5
79,fB7_AgMvvRo,Standard,8.5,7.5
80,nOPz16wDKEo,Standard,3.5,0.0
81,IqAjKcVnHl4,Standard,-1.0,0.0
82,Woo0OKhW6CA,Standard,-1.0,8.0
83,-EKjEbn7FNo,Standard,-1.0,0.0
84,kBsxFDkJ5lU,Standard,8.0,7.0
85,JJtxQ6iGgUc,Standard,3.5,0.0
86,ufHIbdCN7f0,Standard,4.0,0.0
87,QvFasiumflQ,Reaction,5.0,0.0
88,xsV-i1Anr9s,Standard,5.0,0.0
89,uxNmFGh4r6A,Standard,4.0,0.0
90,QW4m4pQGyvs,Standard,8.0,6.0
91,fOxSyNzhADM,Standard,7.5,9.0
92,yLgZbGgTYWw,Standard,5.0,0.0
93,2qZekhwW2Fg,Reaction,-1.0,0.0
94,-3qx-X_Q5Ow,Standard,7.0,7.5
95,FiLkMPe--jc,Standard,5.0,0.0
96,jUSXYLADHPs,Standard,7.5,8.0
97,uKfQNj81fH0,Standard,-1.0,0.0
98,Xl8olawsbeY,Standard,5.0,0.0
99,0dcofL8iH4w,Standard,-1.0,0.0
100,l2sjSGeFJaQ,Reaction,-1.0,0.0
101,ve6_XiI_XX0,Reaction,7.5,7.0
102,l6P608PFpi4,Standard,8.5,9.0
103,iDbZW1vfBBY,Standard,5.0,0.0
104,ZRo1e3hCjP4,Standard,5.0,0.0
105,alvTJgYgafc,Standard,8.5,8.5
106,N2VgT1Xp95A,Standard,5.0,0.0
107,wMxUuHA6CLE,Standard,7.5,8.0
108,sz5hg7hwI6c,Standard,5.0,0.0
109,YRaz05-_iPs,Standard,-1.0,0.0
110,Rb0okAQVfbc,Standard,-1.0,0.0
111,iNKVOwEQpfk,Reaction,-1.0,0.0
112,cazkUOYHsLs,Standard,-1.0,0.0
113,QwogIRCyyjw,Standard,5.0,0.0
114,dYgW10ZdIR4,Standard,3.0,0.0
115,lFtb0TOzvF0,Standard,7.5,8.0
116,e6bvN_zSb4k,Standard,7.0,8.0
117,TbdQP3BWLTU,Standard,-1.0,0.0
118,15DAqgHz5eQ,Reaction,8.0,8.0
119,duvq1rFcHIc,Standard,-1.0,0.0
120,oAYxCdTCU8k,Standard,1.5,0.0
121,CSXVCuP05YQ,Reaction,-1.0,0.0
122,TBjxseKUxP0,Standard,1.5,8.0
123,ZpXGaMeptxA,Standard,3.5,0.0
124,YMmj7iMr3Iw,Standard,8.5,7.0
125,hBjD8cfAmCk,Standard,5.0,0.0
126,sOsI_hiSoWA,Standard,5.0,0.0
127,qSPVItZUx2A,Standard,-1.0,0.0
128,NVCsSu_X9Lg,Standard,5.0,0.0
129,I9GF3mg5gKU,Standard,-1.0,0.0
130,eoq3id0MTpU,Standard,5.0,0.0
131,5jW3JK4k0do,Standard,5.0,0.0
132,rmF-4_IecVo,Standard,-1.0,0.0
133,ONKFHl_MCVo,Standard,-1.0,0.0
134,Bw3I6-61mwA,Standard,-1.0,0.0
135,3iFe_kmNsHY,Standard,5.0,0.0
136,1FTQwFurM3I,Standard,6.5,6.5
137,ZeFWn6j8aMA,Standard,-1.0,0.0
138,TxiZHsatgW8,Standard,-1.0,0.0
139,XrEWoruo8VA,Standard,5.0,0.0
140,_Jfqm8QYbvo,Standard,5.0,0.0
141,CQ2UbI-XsF8,Standard,5.0,0.0
142,k_RkQh2bVOI,Standard,5.0,0.0
143,ZzWlIE3027c,Standard,3.5,8.0
144,TlomiZUGpMg,Standard,5.0,0.0
145,KKB1OqJXRIA,Standard,-1.0,0.0
146,MpKf1w0c6sE,Standard,7.5,7.5
147,PMStKRxCZVI,Standard,8.5,7.5
148,1lP14rZfHHE,Standard,-1.0,0.0
149,uTHmZfda4Ts,Standard,5.0,0.0
150,VVLMY3oCwZI,Standard,5.0,0.0
151,hwHk3OPI4Us,Standard,-1.0,0.0
152,3Pe7XxcVddM,Standard,5.0,0.0
153,YGgIbHWaBLA,Standard,8.0,9.0
154,VPAvRQHTAcE,Standard,-1.0,0.0
155,IL0zmQJc7ik,Standard,8.5,8.0
156,BH0EBED9-LM,Standard,8.5,7.5
157,vzucaBWGtbQ,Standard,-1.0,0.0
158,ehDUblHkq2s,Standard,-1.0,0.0
159,xJlPjY0KTTs,Standard,4.0,0.0
160,DCHUVmuPziU,Standard,5.0,0.0
161,Fpn3cxEARvo,Standard,-1.0,0.0
162,qy8GaBTMJY8,Standard,3.5,0.0
163,76oU998va7Y,Standard,-1.0,0.0
164,4ODjmuU3sAs,Standard,5.0,0.0
165,FA1Fvx7fUmM,Standard,-1.0,0.0
166,0Bm6EHJAjKQ,Reaction,-1.0,0.0
167,eA1k1VHk9go,Standard,7.5,7.5
168,gw2txEK6Oyc,Standard,-1.0,0.0
169,-F7jelNl11g,Standard,8.5,8.0
170,mdEZ4-DcSNs,Standard,-1.0,0.0
171,G1om7OWuLBs,Standard,-1.0,0.0
172,LpkfgfzJd3Q,Standard,7.5,8.0
173,PxHzN9fYqtI,Standard,5.0,0.0
174,x6_5JQ4yLbg,Standard,3.5,0.0
175,W6dSciON5tU,Standard,7.5,8.0
176,ifh9E5v71eI,Standard,5.0,0.0
177,BftKA-5pFXY,Standard,2.0,6.0
178,xdRvXAiFQ-4,Standard,9.0,9.0
179,1PoXUs0Vf7c,Standard,3.5,0.0
180,X3UKXkxDmzk,Standard,3.5,0.0
181,O7WSXhOjKvU,Standard,5.0,0.0
182,a7UWEEJbLzg,Standard,6.0,2.0
183,bkJhF0VHMok,Standard,5.0,0.0
184,KImQRPVtRyc,Standard,9.0,8.0
185,KZ9kLGpD4Ik,Standard,3.5,0.0
186,umFkeSZ0U3o,Standard,-1.0,0.0
187,12J_0Du8ZrY,Standard,5.0,0.0
188,MkC8aGbJdLw,Standard,7.0,8.0
189,2yL41yDfeoA,Standard,2.0,0.0
190,ph0CeBCAuKM,Standard,6.0,7.0
191,WNW56uh8lIM,Standard,5.0,0.0
192,FoomzOjz-nM,Standard,5.0,0.0
193,01Bxj87HpvI,Standard,5.0,0.0
194,YbtU8jN2C3U,Standard,-1.0,0.0
195,P-nGFnJFiY0,Standard,5.0,0.0
196,HBzIt4Hj4Zk,Standard,-1.0,0.0
197,PXGsnXIlM7w,Reaction,6.5,7.5
198,4Wd-I09zwwQ,Standard,-1.0,0.0
199,s3OUkXUPrnA,Standard,8.0,7.5
200,0NXOorRc54o,Standard,5.0,0.0
201,cqlSoCZ8-PI,Standard,-1.0,0.0
202,4oxxZbJRh8E,Standard,5.0,0.0
203,GY1m8K6ESxE,Reaction,9.0,8.0
204,gKcaYDD35NY,Standard,-1.0,0.0
205,eV3YidxX_MM,Standard,9.0,9.0
206,JZuQStP7-VU,Reaction,3.5,0.0
207,uJxwhFeF-kM,Standard,5.0,0.0
208,LqmgLegfDcg,Standard,8.5,7.5
209,q_7cZxuqArY,Standard,5.0,0.0
210,D5bJY8ht75E,Standard,3.5,0.0
211,0AzHN1qjOpM,Standard,4.0,0.0
212,0wr5SzOVycg,Standard,5.0,7.0
213,UKYBQr-Tpjk,Standard,5.0,0.0
214,oh0NCZrysyk,Standard,-1.0,7.0
215,e1jYjQoRCgU,Standard,8.0,7.5
216,oMsAWVg3ouw,Standard,5.0,0.0
217,2_Bj1YHHy5E,Standard,7.5,8.0
218,-J4dxPfpBeE,Standard,3.5,0.0
219,WEdXxnTSLFY,Standard,5.0,0.0
220,PRDS3ZEj9O8,Standard,5.0,0.0
221,J2v49IUiBJ8,Standard,3.5,0.0
222,cFfojDapDCg,Standard,7.0,8.0
223,rl5mTD2AVdY,Standard,8.0,7.5
224,kDri-98sWM0,Standard,7.5,0.0
225,coOxK_DqhaU,Reaction,-1.0,0.0
226,nmImDibf-FQ,Standard,3.5,6.0
227,VdisLYSa5Mo,Standard,4.0,0.0
228,Ss-iUEWY3do,Standard,5.0,0.0
229,rgs1zgsfrZA,Standard,5.0,0.0
230,9RbcIiOLnLU,Standard,2.0,2.0
231,6JLGzJf2pTw,Standard,5.0,0.0
232,kGscfVs6GeY,Standard,8.0,7.5
233,v9STik8ZacM,Standard,7.5,7.5
234,E3sUOJm2XTA,Standard,9.0,8.5
235,Q-d3OGqiOQo,Standard,-1.0,0.0
236,3OCfAmjJ_eY,Reaction,7.0,0.0
237,bQdFhePLgRw,Reaction,-1.0,0.0
238,M2KTYbNlzeM,Standard,5.0,0.0
239,s77ytz4-uWQ,Standard,8.5,7.0
240,RGunD4eduxs,Reaction,8.0,7.0
241,NakfRRv2TtY,Standard,4.5,0.0
242,2j8MujGEAw4,Standard,5.0,0.0
243,KJxhjWmPOlY,Standard,5.0,0.0
244,xXEQ0p6YHGg,Standard,8.0,8.0
245,Dq0xWuhhsLg,Standard,-1.0,0.0
246,cV6b5ix2lsE,Standard,7.0,8.0
247,HXKGu_Gb1ek,Standard,-1.0,0.0
248,7h2yP-LDHtY,Reaction,7.5,7.0
249,VwT1skoWYng,Standard,5.0,0.0
250,eTCtXnF5TjI,Standard,5.0,0.0
251,JMVz_VjWO_Q,Standard,5.0,0.0
252,QAMPt-oqtqs,Standard,5.0,0.0
253,NJz0qJs00zw,Standard,5.0,0.0
254,Afhwvw34JvY,Standard,5.0,0.0
255,oRjv5JD3yE0,Standard,-1.0,0.0
256,DnnjUpJUhs8,Standard,9.0,9.0
257,ZlHkIPp5FGQ,Standard,6.0,0.0
258,x0siOvTr-Hg,Standard,-1.0,6.0
259,gstY8zQpe2Y,Standard,-1.0,0.0
260,x8gSjkgdcrI,Standard,5.0,0.0
261,GfAMHD4Nq1k,Standard,-1.0,0.0
262,x4lVyDv5_Vo,Standard,6.0,8.0
263,vh8MpyGJ4R8,Standard,-1.0,0.0
264,NhbVtWYegXA,Standard,8.0,0.0
265,y5Ladf9DNzA,Standard,6.0,2.0
266,E_ljDTRC0KE,Standard,4.0,6.0
267,Ykd1huuKzL4,Standard,3.5,0.0
268,hs5i6ewoUfU,Standard,-1.0,0.0
269,Cv-V24irbbQ,Standard,-1.0,0.0
270,DTdudeRMnJ8,Standard,8.5,9.0
271,9H55gNHMfEE,Standard,5.0,0.0
272,be8UY7sg3wU,Standard,5.0,0.0
273,EK8Rg11L6bs,Standard,7.0,6.0
274,oNFgNJnxrdA,Standard,-1.0,0.0
275,tO_S-9ckh5M,Standard,7.5,8.5
276,-4-6mleId9E,Reaction,-1.0,0.0
277,y52VC_C2tWc,Standard,7.5,7.0
278,Ab9mNaVNxsA,Standard,5.0,0.0
279,HJpbU_ZQPNw,Standard,-1.0,0.0
280,WOtlSSscS5Q,Standard,-1.0,0.0
281,g6FtdMBR-e0,Standard,9.0,9.0
282,lKEIDe7DKgY,Standard,5.0,0.0
283,kUjbk2cSF58,Standard,5.0,0.0
284,vyl2yEBlAOQ,Standard,5.0,0.0
285,bTIy7_DI0vw,Standard,5.0,0.0
286,dKhXiqTHX8w,Standard,-1.0,0.0
287,-bWP6nIV79U,Standard,-1.0,0.0
288,0Qz-sRhfYZs,Standard,5.0,0.0
289,22BA8U9y--E,Standard,8.0,8.0
290,POVB2GVbPIs,Standard,-1.0,0.0
291,ZwFAeKOnKys,Standard,5.0,0.0
292,23Rhy7DO2EM,Standard,6.5,0.0
293,32vy7GoUfUw,Standard,5.0,0.0
294,r-lMd4YWf9E,Standard,6.5,0.0
295,cNbFEAf30gc,Standard,8.5,7.5
296,ROGu9QDVFNs,Reaction,-1.0,7.0
297,FQ9hKVURejU,Reaction,3.5,7.5
298,fg9mMm8aYO8,Reaction,8.0,8.0
299,wUS8ovZgSzE,Standard,5.0,0.0
300,EW62t2hLS3Y,Standard,5.0,0.0
301,aHvSgwWc_GA,Standard,-1.0,0.0
302,FhHgf_n59PI,Standard,3.5,7.0
303,OKB1Zjr2axk,Standard,5.0,0.0
304,7MuSCnbmFEE,Standard,-1.0,0.0
305,HDrP7Ktyg_o,Standard,5.0,0.0
306,EytXXXUs69M,Standard,7.5,1.0
307,euysQZXnGZU,Standard,8.0,8.0
308,VHnDcavKwqA,Standard,3.0,0.0
309,tiCZsbEe-hI,Standard,8.5,8.0
310,xay0Mih6kec,Standard,5.0,0.0
311,DElnsbtW_qY,Standard,-1.0,0.0
312,SD5shzu-izY,Standard,8.5,7.5
313,Gx6jKM9xtRs,Standard,-1.0,0.0
314,EMEKB8RlhpI,Standard,5.0,0.0
315,CaLbJUXipkc,Standard,5.0,0.0
316,ctGESSrOQJE,Standard,-1.0,0.0
317,sJe3BzyjeAU,Standard,5.0,0.0
318,fg-XMWb0SgM,Standard,5.0,0.0
319,HEtXEouikHc,Standard,5.0,0.0
320,QZcdnkLwbhw,Standard,4.0,0.0
321,cIr7DmgcgAQ,Standard,3.0,0.0
322,efyzdz6u7zk,Standard,5.0,0.0
323,RWmQxTXpOpg,Standard,5.0,0.0
324,yA5H2P4ln-I,Standard,6.5,6.0
325,fm1nUfn2Gb4,Standard,5.0,0.0
326,AwEEiHUX5DQ,Reaction,9.0,9.0
327,w3oIp7B5bgk,Standard,5.0,0.0
328,q9xN7EYCqtg,Standard,-1.0,0.0
329,hyG3F5OIEE0,Standard,5.0,0.0
330,tfE1j06YNUQ,Standard,-1.0,0.0
331,WYy8NdSUpyY,Reaction,8.0,8.0
332,KTVNYWvQxdA,Standard,-1.0,0.0
333,U-N_IxY0rYk,Standard,8.0,8.0
334,6MysNZGT3uc,Standard,7.0,0.0
335,JCPNoApNrSo,Standard,5.0,0.0
336,yBkRcgy6MVM,Reaction,7.5,7.5
337,BXFNy06UOeU,Standard,6.5,0.0
338,y3l1IXe2SUQ,Standard,-1.0,0.0
339,3gwkBafpcYE,Reaction,7.5,8.0
340,u9xvQhztlbg,Reaction,8.0,8.0
341,kScadBk8k78,Standard,5.0,0.0
342,8IBJx0HqR74,Reaction,-1.0,0.0
343,u-dBC8qPs_8,Standard,5.0,6.0
344,0-9HeWHyCVU,Reaction,8.5,8.0
345,lMRu8hcDynY,Standard,6.0,0.0
346,sz-fOFBf_Pc,Standard,9.0,9.0
347,rZRyGqyWlu4,Standard,8.5,7.5
348,ZP43p_m4hMc,Standard,4.0,6.0
349,aEDcovUL_rs,Reaction,6.5,0.0
350,WXeeYZ9wY1Y,Standard,-1.0,0.0
351,n4MNiLjY9hA,Standard,-1.0,0.0
352,WyTK0bxcBow,Standard,5.0,0.0
353,UQHh1HFtjYI,Reaction,8.0,9.0
354,SZtFAbzmxT0,Standard,7.5,7.0
355,Z8SnaYXAAkA,Standard,7.0,8.0
356,wChZncDqq8U,Standard,5.0,0.0
357,5I5yECP8nzc,Standard,5.0,0.0
358,wS9DGwKhLDM,Reaction,6.5,6.5
359,oBMfy8THabA,Standard,5.0,0.0
360,EDbfBQNgXhg,Reaction,-1.0,2.0
361,smMbc18I8bk,Standard,5.0,0.0
362,jx10KZ4SJqo,Reaction,8.5,8.0
363,0DDisu3CaTo,Standard,-1.0,0.0
364,p39LPNZy46w,Reaction,8.0,8.0
365,GMlQ_eh3WGA,Standard,7.5,4.5
366,jj3WyoeHiws,Reaction,8.5,8.0
367,Hwrd6sXifMQ,Reaction,8.0,8.5
368,UYZPME9P4t0,Standard,-1.0,0.0
369,1aUrG3mUgKo,Standard,5.0,0.0
370,qkVaaIpQz-c,Standard,-1.0,0.0
371,9Qt4r03KOVc,Reaction,-1.0,0.0
372,lbmVMZotp4Y,Standard,8.0,8.0
373,4dRuut-ZDig,Standard,7.0,8.0
374,sVeb89EkGiQ,Standard,6.5,4.0
375,1tFj4KE3OsA,Standard,8.5,8.0
376,cZ8SWnsCWw0,Standard,5.0,0.0
377,e1l4J5M1vBc,Standard,9.0,7.5
378,ZmelN7MYB_8,Standard,5.0,7.0
379,m_r7Hm7aU3Q,Standard,3.5,0.0
380,BwfnSvDYkV0,Standard,5.0,0.0
381,eh9Y41HPPNU,Standard,-1.0,2.0
382,H_e_ONIiAe8,Standard,3.5,0.0
383,sHRxDdoh7eo,Standard,8.5,8.5
384,GmcqKUY7o3w,Standard,-1.0,0.0
385,bSNDHe6Tr2A,Standard,7.0,8.0
386,rLOyt2A7JAg,Standard,5.0,0.0
387,VwK_8d6ZypE,Standard,1.5,7.5
388,Mp34Vb3ZNy8,Reaction,9.0,8.0
389,ihQ85j-scVg,Standard,9.0,8.5
390,2ivC6wIakqk,Standard,-1.0,0.0
391,zfp5ibFz78Y,Standard,9.0,8.0
392,h-CTL1PPXyE,Standard,8.5,7.5
393,R3WDjEAAkJY,Standard,7.0,8.0
394,i-1tKRHxhF0,Standard,5.0,0.0
395,8vuTB7jQSik,Standard,-1.0,0.0
396,7yYX8pTkheo,Standard,3.5,7.0
397,HvQWbl400oI,Standard,8.0,6.0
398,YUJjuLLUOPw,Standard,5.0,4.0
399,nUW8M7KcjXs,Reaction,7.0,6.0
400,2k--FD29TVI,Standard,-1.0,0.0
401,tTAShXbTQjk,Standard,-1.0,0.0
402,z7BCWqcMKa8,Reaction,6.0,4.0
403,4u84tsOvpa8,Standard,5.0,0.0
404,0X_a4pygSw4,Standard,5.0,0.0
405,JdTI_6TgEnY,Standard,-1.0,0.0
406,pOkNrvB63pc,Standard,4.0,0.0
407,wGb5OVzVAcE,Standard,5.0,0.0
408,_ezOaxW3DY8,Standard,5.0,0.0
409,QMHSZ6fWYIw,Standard,-1.0,0.0
410,n9vtI5f71rI,Standard,5.0,0.0
411,JtvXiMn-Tx4,Standard,5.0,0.0
412,U1ESXyGbDX8,Standard,3.5,7.0
413,hfqolArsTvY,Reaction,9.0,8.0
414,zpvCZP1prnc,Reaction,-1.0,0.0
415,qBHhFQpFh08,Standard,6.0,7.0
416,-n1YVLH5aTQ,Standard,-1.0,0.0
417,hG4ccPU4ytU,Standard,5.0,0.0
418,2AYUDI_eH5o,Standard,5.0,0.0
419,5bFYZK9Wi58,Standard,5.0,0.0
420,RlpuW0NFhBE,Reaction,5.0,0.0
421,VbIu4GVjfq4,Standard,5.0,0.0
422,Nxfm6CgXT20,Standard,3.5,0.0
423,Mql-dy6Ju8k,Standard,8.0,8.0
424,CDkW9lbEV6E,Standard,-1.0,0.0
425,inAZUbaFnuE,Standard,5.0,0.0
426,viUdbnRUdeo,Standard,9.0,8.5
427,2_ZRTkgEmVk,Standard,-1.0,0.0
428,E-RIqGck4ZM,Standard,7.5,6.0
429,DsvO7JXq52g,Standard,6.5,6.0
430,_YEUWBwBgJg,Standard,-1.0,0.0
431,f6oxESM7W4Q,Standard,5.0,0.0
432,L68Ceia6_As,Standard,5.0,0.0
433,rJnQyQqRwPc,Standard,-1.0,0.0
434,QXyRarB1wDg,Standard,2.0,0.0
435,QDGEGYo4s_Q,Standard,3.5,0.0
436,cLiNYKAZg60,Standard,3.5,8.0
437,pO3WHLmyTeY,Standard,6.5,4.0
438,bUGia5wcv88,Standard,-1.0,0.0
439,EplK1cEsaHE,Standard,-1.0,0.0
440,QpubQzHJDRo,Standard,9.0,10.0
441,HS9oHXqVv98,Standard,6.5,0.0
442,GzuwhVd2E-s,Standard,7.5,8.0
443,MOajVnMNRbM,Standard,8.5,9.0
444,FPM1ODeOmpc,Standard,-1.0,0.0
445,TaGIS2QHcqc,Standard,9.0,8.0
446,unQVubDsuiM,Standard,9.0,9.0
447,3p2j_fu3VdQ,Standard,5.0,0.0
448,M_ZEk3TC0xo,Standard,7.5,7.5
449,NHi_HjgBPq0,Standard,5.0,0.0
450,Gwj6M8nnMdo,Reaction,7.5,7.5
451,Oq8E9_JKhVQ,Standard,-1.0,0.0
452,w6gPBLJsfHM,Standard,5.0,0.0
453,05NOPK7aRCs,Standard,-1.0,0.0
454,ERZJvdiWUPk,Standard,6.5,0.0
455,kgqvFuqpVAA,Standard,7.5,9.0
456,qs8Zqo4Bp8w,Standard,8.5,9.0
457,JNtl1zpvcbg,Standard,6.0,6.5
458,DOxkr0toI4U,Standard,-1.0,0.0
459,bM5RctPMYLI,Standard,-1.0,0.0
460,koAFSsZt73c,Standard,9.0,9.0
461,FNKbVHDatFc,Standard,-1.0,0.0
462,6KvLyMjLb74,Standard,5.0,0.0
463,Pvc16Jm6iqU,Standard,5.0,0.0
464,sGX4VZHrrNI,Standard,5.0,0.0
465,AA6jNhwZK6Y,Standard,3.5,0.0
466,FYwE2fypBTs,Standard,-1.0,0.0
467,XXb_kd3jVnI,Reaction,7.0,8.5
468,rWPfaf9mneQ,Standard,7.0,8.0
469,t_KbH3rcn34,Standard,-1.0,0.0
470,yyDDypy8B1Y,Standard,8.0,6.0
471,cguBeXePqIA,Standard,6.5,0.0
472,MbJOQsK42iE,Standard,3.0,0.0
473,kG6Qz9WexX8,Standard,5.0,0.0
474,_0x8wnc7URg,Standard,7.0,4.0
475,-Ici0C-Ftt0,Standard,5.0,0.0
476,iAtgVDvZ3-A,Standard,-1.0,0.0
477,zYbhxgdD1Xs,Standard,8.0,8.0
478,QZ5OGTkeUOM,Standard,5.0,0.0
479,DdvGND5gdAQ,Standard,-1.0,0.0
480,pG3qAucmdoY,Standard,7.5,7.5
481,vcR7DkUrJ98,Standard,-1.0,0.0
482,z3aMk6Lm3J8,Standard,-1.0,0.0
483,OpU2a-iAmZY,Standard,5.0,0.0
484,kbJNz0K-KYs,Standard,5.0,0.0
485,gvXTLum8MCg,Reaction,7.0,4.0
486,tbG1GW9872w,Standard,5.0,0.0
487,2uTbVfmiVVk,Standard,7.5,6.5
488,23zfhcqtbjI,Reaction,8.5,7.5
489,FAoG-T7jIgM,Standard,1.5,7.5
490,pGHIF4k4IdU,Standard,1.5,0.0
491,2pwq2FZhsWM,Standard,9.0,9.0
492,z4NsfVe2RIQ,Reaction,6.5,4.0
493,PdM6rq104MQ,Standard,5.0,0.0
494,GqYQe6u1ZXw,Standard,5.0,0.0
495,h0zJNz_-6YM,Standard,-1.0,0.0
496,R5WrFVW4tmc,Standard,6.0,0.0
497,xV6lnjRtORg,Standard,5.0,0.0
498,Tu1fvQDecSg,Standard,7.5,7.0
499,ZAedL9IW8jI,Standard,3.5,6.0
500,nM4u_KkhIhM,Standard,7.5,0.0
501,xB2cEp8LdqQ,Standard,-1.0,0.0
502,d1jAkEYJonE,Reaction,-1.0,0.0
503,9_JCGuz73Aw,Standard,-1.0,0.0
504,e66a_DXxFOw,Standard,5.0,0.0
505,fnlV6QnVTKo,Standard,5.0,0.0
506,C4XrqM_696A,Standard,5.0,0.0
507,B2u_lWQ7mOE,Standard,5.0,0.0
508,r1dFWX6LsTc,Standard,-1.0,0.0
509,6uoDxRlLAJk,Standard,5.0,0.0
510,NqOozMzvZcU,Standard,-1.0,0.0
511,SFNWcqivrFs,Standard,5.0,0.0
512,MtJ9HimOiQE,Standard,8.5,9.0
513,9IEbOFXhPTc,Standard,3.5,0.0
514,6ZO2E3E3Ygk,Standard,-1.0,0.0
515,0Jj1XYhb_a4,Standard,-1.0,0.0
516,AnA3dQwDOIs,Standard,7.5,7.5
517,T_VDS6_hC-I,Standard,8.0,8.0
518,BlC3cp1NOqA,Standard,5.0,0.0
519,aTZaMD7aR-Y,Standard,6.5,8.5
520,mxEVBEnpM8E,Standard,8.5,8.0
521,Jy3mwKJMBZ4,Standard,6.0,7.0
522,NARTf7pyNic,Standard,9.0,7.5
523,KCLysw8Jyp4,Standard,5.0,0.0
524,CTIcShw63cE,Standard,3.5,0.0
525,Q-zzo1s41S4,Standard,-1.0,0.0
526,t-skgDIGmY0,Standard,5.0,0.0
527,HodvJPX8-SI,Reaction,-1.0,0.0
528,ALqS2GgqOA0,Standard,5.0,0.0
529,5OJM9CBPJkY,Standard,3.0,0.0
530,w-PWNscrhzg,Standard,-1.0,0.0
531,jurT4bOWY5I,Standard,5.0,0.0
532,4HPcpgjbBe4,Reaction,9.0,8.0
533,odghCn9KLyw,Standard,7.0,8.0
