video_id,video_type,populism_score
tQYVrO_5O2c,Standard,-1.0
tN-99lzjC9o,Standard,0.0
yQL4Gwt5sYU,Standard,0.0
tL_viryHnxE,Standard,0.0
h_5I2fUj_2M,Standard,0.0
DCtfHe0mxXM,Standard,0.0
ZfeEHPkT-4s,Standard,4.0
3HVacJftJpU,Standard,0.0
nvTuPYA1DKo,Standard,0.0
7KqQlob1M38,Standard,0.0
fw5ObC-uwrw,Standard,8.0
QyDy1vX2kp0,Standard,4.0
igDm9FazxMY,Standard,0.0
XM05BPIA7Ts,Standard,4.0
Y7tMdwZ3oks,Standard,0.0
9lhlhCTd4CU,Standard,4.0
nZwSlY3eWsU,Standard,0.0
-i5sOTQMBkg,Standard,0.0
1bCJ0I2LPgA,Standard,0.0
MtxStfDegBk,Standard,0.0
eICRudU7V7s,Standard,0.0
Ab2s_1pQcWs,Reaction,8.0
8UG3ePgB0bE,Standard,6.0
sMMnji3Ji40,Standard,0.0
zsPofq_O-rk,Standard,2.0
J3TPy_42-ZQ,Standard,0.0
cmbN3N0dZD4,Standard,8.0
H2z6YICmeWc,Standard,0.0
CSNTAYCdgYw,Standard,0.0
nzuxPYM97Rg,Standard,0.0
f5_x8gVpz6A,Standard,-1.0
g9UFBTdpkDU,Standard,0.0
8sayUC_VqoQ,Standard,0.0
Mk9dD7ogna8,Standard,0.0
MrTUmfCphGk,Standard,4.0
DNOPokoP39Y,Standard,0.0
wQSd75CJhKk,Standard,0.0
WkT_uVk5GUM,Standard,0.0
ioHtjU8hPEA,Standard,0.0
rhU6xVeA9SI,Standard,0.0
MhveOwOVH3w,Standard,0.0
Soq7PUsImoE,Standard,0.0
Zfohxia3r6Q,Standard,8.0
ws7urv1_fHI,Standard,0.0
l8YsJGrrG68,Reaction,6.0
azfdOCG9yok,Standard,6.0
co8h_vK4QPM,Standard,0.0
ioZJZSUJCyo,Standard,0.0
FcJ_SJ-IKUI,Standard,0.0
uQYp5QGASps,Standard,0.0
mMqkrCI60X0,Standard,6.0
-QWxN51kn8E,Standard,0.0
cgjn5Ahm174,Standard,-1.0
4K-xAa06r4E,Standard,0.0
lNV0CHV4RNA,Standard,0.0
DoDB7gPkxdE,Standard,8.0
m01FmZIpIMU,Standard,6.0
hKjiUnuVWAg,Standard,6.0
ZSDdIlDjmJ0,Standard,0.0
qykEPKhLI24,Standard,0.0
5Rz5nvSWpNk,Standard,0.0
ZBkp5TOky0E,Standard,0.0
wuDg8I5goHA,Standard,-1.0
aKKMvAUiPGk,Standard,0.0
oLXoIK2tGz8,Standard,0.0
yrvOfzuKWVc,Reaction,4.0
Hd4pbMwUvzY,Standard,6.0
NrOW8h9yohc,Standard,0.0
Tao4pjizy_w,Standard,0.0
KcOYC1E_3nQ,Standard,0.0
mpbRkL6ze0g,Standard,6.0
FQHyqYQCEJ0,Standard,0.0
SaMSddef0G4,Standard,0.0
LrG2K4WGWQo,Standard,0.0
LqIjXnUc1WU,Standard,0.0
bTd2R6iKOF8,Standard,4.0
PypOU9rM3us,Standard,0.0
k4VDhTkk9bI,Standard,0.0
wl9cJiviNfE,Standard,0.0
rlP7tfHAO7c,Standard,0.0
1bly_Zuc-R4,Standard,0.0
9yuswuvBEyg,Standard,6.0
pcfy5rWQMaU,Standard,4.0
xJ5nwJyAhY4,Standard,6.0
8cufgGIkTVc,Standard,0.0
lsRmZKt5kr8,Standard,0.0
TXJHjqKCitM,Standard,0.0
SzxocYHh_OA,Standard,0.0
i1xM3_SXAWc,Standard,0.0
Ku6KrG1Nf_c,Standard,0.0
IdaScACPS5c,Standard,0.0
86CZgQq4kPI,Standard,0.0
GvYBhj52cDg,Standard,-1.0
-tJuSRLZdRA,Standard,2.0
4PsmlY3Iclg,Standard,-1.0
0iVOpmEviHA,Standard,0.0
EhmRc7aJQdE,Standard,0.0
exVbCLeBMnE,Standard,0.0
ZvUSu-0Qke0,Standard,4.0
7wNeMP0ybWg,Standard,0.0
5GbI4--p4WI,Standard,2.0
Jse5t-wH6Ks,Standard,-1.0
iC9zceUG1qc,Standard,0.0
cAr5pOlc-Zc,Standard,0.0
QInH2fhI__k,Standard,0.0
6NtJvgRI4HA,Standard,-1.0
HzfgFD8vEBk,Standard,0.0
KCARqKBAOX8,Standard,0.0
SMh2DoOJnBk,Standard,6.0
Y9Uj_px8boE,Standard,0.0
0ZvjeODbRSw,Standard,0.0
fKnuHo0N1Cw,Standard,0.0
XYKfXwqV8GU,Standard,0.0
dvujZnj9ejU,Standard,0.0
O2FCXdhwU8Y,Standard,-1.0
eAIPsyS_I8g,Standard,8.0
jCveOFmVQvE,Standard,0.0
o4scwkk7vcM,Standard,0.0
lH_kNTeLBrs,Standard,-1.0
68DcemvXaHc,Standard,-1.0
bNhdurxFKAs,Standard,0.0
sT1FOLs0iYc,Standard,0.0
AEf-MhhG5XY,Standard,0.0
3nJkTISVeWQ,Standard,-1.0
wltsBqa0Bqs,Standard,0.0
FLX6sMMhnZE,Standard,0.0
UHhinvQbXrk,Standard,0.0
zib3a7ve0N8,Standard,8.0
R1tS5nXPuis,Standard,0.0
yCU84ILRnoQ,Standard,0.0
HEN19NzBBxc,Standard,0.0
zDUD75dMHE0,Standard,0.0
6NbY6ABoXxg,Standard,0.0
qOJXJZ4Ds7Y,Standard,0.0
deylAC8rHCQ,Standard,-1.0
l59QgHw2wng,Standard,0.0
vbkbzicvzjM,Standard,8.0
5zINYRIw6sY,Standard,-1.0
RVqYzqUxQzc,Standard,0.0
H3wUbGXIxGA,Standard,4.0
OXsuBU8tC8g,Standard,4.0
8f5JnJmFJYw,Standard,0.0
95TgF_Pr_GU,Standard,2.0
Ocmtx8VQN4k,Standard,0.0
Y6XwWsTZJCw,Standard,-1.0
iOxnKIAobNg,Standard,0.0
4RjClMr9i-o,Standard,0.0
7zKIcKD5RhQ,Standard,0.0
5MMscToqBiM,Standard,0.0
Gz-XPBPAj4I,Standard,-1.0
ShS_lkNE97E,Standard,0.0
mCvXcXyqRqE,Standard,0.0
ANjtxSkb_PA,Standard,0.0
cPYcNCwwf1s,Standard,0.0
vOkEY8zIZ5M,Standard,4.0
a08SHdrThb0,Standard,-1.0
FMrSw6Toze0,Standard,0.0
lVD1pA0L3-4,Standard,-1.0
3N9sBK8tNoc,Standard,0.0
Hkh8knoAmtg,Standard,0.0
dga5eoMJYCE,Standard,0.0
XHrhFLd-nV0,Standard,2.0
NtjMVX0N0xQ,Standard,4.0
EQhCaGyDGHY,Standard,0.0
0NcL6WIGh0g,Standard,0.0
AL8fOiinLd8,Standard,-1.0
KEYcynx5Tyg,Standard,0.0
gWN1hLXIEng,Standard,0.0
F0JkeyVTPus,Standard,0.0
zbPlNnhX9-U,Standard,-1.0
Z3VeYvFLGsU,Standard,0.0
f-1PilShhz0,Standard,4.0
voFkhgVRAw0,Standard,6.0
t0mVkkIAxOo,Standard,0.0
mn3bbb_h5Aw,Standard,-1.0
7cYrtJyOmFQ,Standard,-1.0
iIReZ6HEX88,Standard,0.0
muOHZeIR9K0,Standard,0.0
4MswRTehn_U,Standard,0.0
pf6mUwam4DE,Standard,0.0
JARW3PYexeo,Standard,8.0
OjFFbgNc_aA,Standard,2.0
BI4q_58Bcuo,Standard,0.0
ST6Pou43ZdI,Standard,0.0
Fm9DQuJ4Ysw,Standard,0.0
Q54RgLssMHI,Standard,0.0
PlavZXQjxgg,Standard,0.0
TBZdkvI_Gxs,Standard,-1.0
lcFtxs9hX58,Standard,0.0
brCrNuUq--8,Standard,0.0
Z10LuCDmay4,Standard,0.0
4D0iTRPsRo8,Standard,0.0
jNGG1NY9FMU,Standard,0.0
PxFaPhDtA6c,Standard,0.0
vGR6m8xsKlY,Standard,0.0
opaNIk_UERo,Standard,0.0
wUF_yc_Z6xc,Standard,0.0
VSqHQqI8SHw,Standard,0.0
8GuDc4WJaGE,Standard,0.0
-WJTbIO8Dug,Standard,0.0
ycHC9Agax-I,Standard,0.0
P-Uib6ASo7c,Reaction,6.0
e_kaZhH7-a0,Standard,4.0
Z0FRVlG_GvY,Standard,0.0
foIMGbavti8,Standard,0.0
hTHLXlPRgXI,Standard,0.0
v-09aBnC5Io,Standard,0.0
gy_bY2t3Oak,Standard,0.0
K95DhMbnMts,Standard,4.0
MA6cplJw1ok,Standard,-1.0
8YR5oe0b7Uo,Standard,0.0
qMcJ0dUhO9M,Standard,-1.0
sEx6XdY2TY8,Standard,0.0
yXSAWBjv6X4,Reaction,0.0
3X47kedrmlk,Standard,0.0
1781dp1VvVQ,Standard,6.0
putthFzq4R4,Standard,6.0
Xku8lXSh4UA,Standard,0.0
PbidGBrMdPM,Standard,0.0
GjD4ETHJe-M,Standard,0.0
9XaOaIHvYAw,Standard,6.0
I760Uws0Eh8,Standard,0.0
e8jPj0zIuZA,Standard,0.0
wO9egs7yx6A,Standard,0.0
GVqMUosNfQw,Standard,0.0
uhHTeESxIxY,Standard,0.0
JwEP_8C4yA4,Standard,4.0
wJ7yUx3xouY,Standard,-1.0
ePslCGwroM8,Standard,0.0
ON3Aj0bSv0U,Standard,6.0
25gqLbaxpi4,Standard,-1.0
yEW4IDGihcU,Standard,-1.0
19beEWygvU4,Standard,-1.0
j5kHDzITuqc,Standard,0.0
qq00_sc0dvU,Standard,2.0
3NMRuAyLCJQ,Standard,8.0
uec254gLTMA,Standard,0.0
wYs-45jVkU0,Standard,0.0
g_X0uRsvfJk,Standard,0.0
xDXqozHmews,Standard,0.0
c7Y9y9YYuko,Standard,0.0
ruh2yXmFGo4,Standard,0.0
7gK4Mq78neo,Standard,0.0
yJobBYWu4V8,Reaction,8.0
daYosieZR-4,Standard,4.0
ZasfRuMFSkI,Standard,0.0
8VlLvA6p008,Standard,0.0
mjt2soXkOIU,Standard,0.0
IEdtTb3p79Y,Standard,0.0
b2k3G_e9hGw,Standard,0.0
iglWez6fIoY,Standard,0.0
JokQ1U3OQ5Q,Standard,-1.0
iJfmxwxgkNE,Standard,8.0
hLOiZDBUSUs,Standard,0.0
VOvTlF1RwFo,Standard,-1.0
e_N0emKHsQg,Standard,0.0
KQSDwowM7YI,Standard,0.0
3uzOVVDmXKY,Standard,0.0
6XK0Scy4D-Q,Standard,0.0
Vydg3XfITs0,Standard,0.0
gP_qwa-IPLU,Standard,-1.0
h3K1r19Ahx8,Standard,8.0
JODqhYtg8Y0,Standard,4.0
1m1ZxnRY_oA,Standard,0.0
UKZg3vE3WIw,Standard,-1.0
AsFqExWAmXw,Standard,0.0
7iRKPLy62_c,Standard,0.0
WV6PtsyyAIY,Standard,0.0
IkgWxgW4iEM,Standard,0.0
unz85sbW3dE,Standard,-1.0
re5mqCRhQoQ,Standard,0.0
wsImkHZ3ijw,Standard,0.0
uCZQa4LoB9Q,Standard,0.0
_G_291Uof1Q,Standard,0.0
vvFr3Uy-Zjo,Standard,0.0
D6phLmGTGkk,Standard,0.0
p9-BGhIv87E,Standard,0.0
e2DoFcDvlEc,Standard,0.0
o-aU2IM-Lr8,Standard,0.0
BIdD95euZD0,Standard,6.0
85W5O6WFB5I,Standard,0.0
VwABxbel_Wc,Standard,4.0
VINHUpZkajQ,Standard,0.0
XRmK32pwvyw,Standard,0.0
6OPm1e9Waoo,Standard,0.0
ZlL0ZKed-Uo,Standard,4.0
HiuOnomzaa0,Standard,8.0
5uNO4w9Pxcs,Standard,0.0
c-CAvp2U92k,Standard,-1.0
P5MIIS99NEA,Standard,0.0
DONPaSoLWaY,Standard,0.0
-nYz6s3v8IY,Standard,0.0
fQ1DXmlw1ug,Standard,0.0
9A4GM4kzZcA,Standard,0.0
NCNwayIehCI,Standard,-1.0
QHtf0hX5Dwc,Standard,6.0
kopdF1PzKq8,Standard,0.0
4as7zP60YgM,Standard,0.0
frk4yMmXBNQ,Standard,-1.0
vwPOQBrLow4,Standard,0.0
YsIRg-84WOo,Standard,0.0
t-hOUNd2L1g,Standard,-1.0
33j6XokHuMw,Standard,-1.0
olqynxGVyAg,Standard,-1.0
S5P93UZwgIY,Standard,-1.0
U1eSvhBAnTQ,Standard,0.0
hgYqzCCO6TM,Standard,-1.0
lBEIi9bX6RA,Standard,0.0
iriND23A2z0,Standard,0.0
i0CxMBNTIfw,Standard,0.0
mS3SMmax3n4,Standard,8.0
BfbRubYef8U,Standard,0.0
GHdLgBCBZqw,Standard,0.0
2sgTGPQesbo,Standard,2.0
Njbq4_Rugvc,Standard,0.0
H6NSIQm3S2A,Standard,-1.0
nhqgOw-_x0c,Standard,0.0
z12F5h5qQgo,Standard,8.0
iZXjrVMFXbI,Standard,-1.0
Ns496DcwiqY,Standard,8.0
CyvX2VCB-6s,Standard,0.0
MZtPcN1NmcM,Standard,0.0
iKEcSgbpOos,Standard,0.0
J0jLAc5KJtU,Standard,4.0
8vNV1Gue3Jk,Standard,-1.0
BF6T0hzNhWg,Standard,0.0
I7_C-T7AnhU,Standard,0.0
Rar9S9RWDdA,Standard,0.0
-8K4Slm7HWM,Standard,8.0
by2SqyvYZR8,Standard,-1.0
BQg4ttnrLi0,Standard,0.0
9yfhZkJM-fg,Standard,0.0
-Wryp8lF9CQ,Standard,2.0
B4-ChKRwHP4,Standard,0.0
q2UzU4OG0JU,Standard,0.0
q32NvbusvAs,Standard,0.0
riMa9mXMRIg,Standard,0.0
GWDVsc1sLC8,Standard,6.0
MPyh9bBPfrE,Standard,6.0
Fmju9RMiKEg,Standard,4.0
OSgAd-nN1gg,Standard,0.0
l6hu2e5JTAQ,Standard,6.0
AYpCG2nVoXM,Standard,4.0
evbrQmVXeJg,Standard,0.0
wwz7oT2nL-w,Standard,0.0
4iFSHdfSJ_c,Standard,0.0
CPh78zpGnCc,Standard,0.0
zuMyxs-jBzc,Standard,0.0
IWYe2ELePe4,Standard,4.0
vhsP4NLkm1A,Standard,4.0
rZZsmFFsyJw,Standard,0.0
ytHbNBPqrfo,Standard,0.0
gcFjOsF_80Y,Standard,0.0
HyMkAOXrj_g,Standard,0.0
-x-ActE67sQ,Standard,0.0
Md7X9hnC7U4,Standard,8.0
u1E_YIGkmxY,Standard,0.0
ZF4pXYuYGCo,Standard,0.0
2S4J3kXC4TQ,Standard,0.0
bgoWnSTGAw0,Standard,-1.0
zmQHMd2oLrc,Standard,6.0
_qOPLUS_9XU,Standard,0.0
f4v1hYxpZms,Standard,-1.0
1UhXfUzvOFw,Standard,0.0
Svzzq5m5X70,Standard,0.0
NG7GzKk3vV8,Standard,-1.0
3n-cdpFBhUk,Standard,0.0
dKHsOq8vjxE,Standard,0.0
_rv9xcuXeW0,Standard,0.0
GbedoaLHr8k,Standard,0.0
E-P35Pua3JQ,Standard,0.0
eLBLU9bU7Jw,Standard,4.0
A0zs_P1-K4o,Standard,0.0
6ybD-JsTBeA,Standard,0.0
YTIe3AZBvyo,Standard,0.0
-nbCxQQBZ3Y,Standard,8.0
5KdbACDfq08,Standard,0.0
wXL0CYQMOB0,Standard,0.0
hM9Rju-MHK8,Standard,0.0
R5VeUkjz7p0,Standard,-1.0
Do5PgHEf6aU,Standard,0.0
rT0F6H_oy74,Standard,0.0
K8PGj-FtOKk,Standard,0.0
inBecImTJ5k,Standard,0.0
GR0_K-S4nq0,Standard,0.0
bM2iuBoltn4,Standard,0.0
d918-rBcuXQ,Standard,0.0
59-6ctBKzL8,Standard,0.0
2wh1FvHITZY,Standard,4.0
kQR6ThLz7WI,Standard,0.0
3bnm-4MKYaY,Standard,0.0
XCmIRFGaOgY,Standard,0.0
Tnq4xk7vMNc,Standard,0.0
Ox9sOlFZfuo,Standard,-1.0
5DrXZ9ohts8,Standard,0.0
877PFtCUuXw,Standard,4.0
7uUHwnxgi8I,Standard,8.0
zDbIHfn_zD8,Standard,0.0
fdkJ5cVKWrw,Standard,0.0
4ARrwBeEYxI,Standard,0.0
stljfWEQJX0,Standard,0.0
FwjWtBC4pPg,Standard,0.0
dY03yhFtF88,Standard,6.0
CoARLcA0ht4,Standard,0.0
7_VuTWE1Sqg,Standard,0.0
j4jbfRbZiJk,Standard,0.0
a3HNTVU0MiE,Standard,0.0
GJ7Y7uin0ME,Standard,0.0
VqHafdSQerw,Standard,0.0
xxZ-CbCP_Q4,Standard,0.0
rX3pvlDv1LY,Standard,0.0
7R7ukzqXjf8,Standard,0.0
ZPdwOonHW14,Standard,0.0
KHnvi3M_yoo,Standard,0.0
PPZwmLqsQW0,Standard,2.0
pLhbNi2oaXg,Standard,0.0
JGOIxXnsxt8,Standard,6.0
WQH30ij7y-E,Standard,0.0
skkBBlYRMhI,Standard,0.0
7Eb9VkVTQHc,Standard,0.0
L5uaCryYDsc,Standard,6.0
aTLzE9qsJWE,Standard,0.0
hB5CxHPNdls,Standard,-1.0
Ux-yq_18j2Y,Standard,-1.0
_5fGYb9E3vM,Standard,0.0
vYDrBnBRhb4,Standard,0.0
mL68Aa74uIE,Standard,0.0
uOYh9kp3Dxo,Standard,0.0
CFCXNrxnTyI,Standard,-1.0
5nnO25mAlYI,Standard,0.0
dkUF3gLJ05E,Standard,6.0
Ix2VKGejPIE,Reaction,8.0
Q87rFhsF2v0,Standard,0.0
k3Whak4YD54,Standard,0.0
2utpibFmknI,Standard,0.0
9reJJsh9b50,Standard,8.0
y4qn9HL_zi8,Standard,0.0
nWpZSQaofOA,Standard,0.0
sgV9VhA-wNI,Standard,0.0
JS84HRvSOmw,Standard,0.0
bc-d8Y8gjVk,Standard,0.0
POm8X8R0iZY,Standard,0.0
ejn2Ws-6-Js,Standard,0.0
-oAna2NWJjQ,Standard,-1.0
W0Ar8pmaMT4,Standard,0.0
holNgvygxtg,Standard,0.0
FXwaumY8CEY,Reaction,8.0
QJ5EAukGBW8,Standard,0.0
aIONeZpsS1g,Standard,0.0
dFWYpOdR8aM,Standard,0.0
-6zPl_YLU5M,Standard,8.0
uzaH9Aynkus,Standard,-1.0
f9aXQGDUUO4,Standard,8.0
d6pNM9Er_4Q,Standard,0.0
mRHXyH-OQbs,Standard,0.0
o0yC5YLW5IA,Standard,-1.0
J6dCyy1xXWY,Standard,4.0
8YRmwfUc8Xg,Standard,0.0
1h_GbBRYdSM,Standard,0.0
PlksELQZ0MI,Standard,0.0
V4ViPK2Xt34,Standard,0.0
pnX2M35aw-E,Standard,4.0
qGm_IQut9es,Standard,0.0
wvNozarjfb4,Standard,4.0
StNdFEcX33I,Standard,0.0
uoXHh94QmrA,Standard,0.0
lOy2Tzh6O44,Standard,0.0
gERwusV7uXA,Standard,-1.0
30ntMWoTQ9I,Standard,0.0
hqVrWeTAtzE,Standard,0.0
ibazgMsP3zk,Standard,0.0
sA40-_lZWmQ,Standard,0.0
QC1Yzqgqo-k,Standard,0.0
wXkclKujfFY,Standard,0.0
ZlqK9j49Rng,Standard,0.0
TZwQxjxKC8c,Standard,0.0
-jLXKOQ0Mw8,Standard,0.0
4tanUUiusd0,Standard,6.0
XCZPkMrZs-0,Standard,0.0
ozJqfsM8Vbs,Standard,0.0
kz0urqsfCDo,Standard,0.0
WQYQNiAL4VY,Standard,6.0
yQxulXKk3Ok,Standard,0.0
32_WRai9oy0,Standard,-1.0
_IyimapRzPo,Standard,0.0
ryU19TV-Ax8,Standard,8.0
Q1xm5mTTJ3U,Standard,0.0
2po9Nxeuu14,Standard,0.0
R3rG5tFrG9M,Standard,-1.0
n0Yk1fOP6G4,Standard,0.0
0PaCk7ViD20,Standard,0.0
ZikEUUo3-Cc,Standard,0.0
CNxzD5nnZVw,Standard,6.0
oqHAhqhLorM,Standard,6.0
5TKbwBxPGfQ,Standard,0.0
RBZTJIfErOI,Standard,0.0
T-VS3xBNiv8,Standard,0.0
xuQ_hhmWjz4,Standard,0.0
0tJ9_rmnOco,Standard,0.0
FX6W0w0YA_I,Standard,8.0
ks_2fIgAtB0,Standard,6.0
YtWsQV7bo-8,Standard,0.0
oa6Q2oJeFFA,Standard,0.0
83YLcLQ-0A4,Standard,0.0
Tt0I0XWlw7Y,Standard,0.0
ladcmJQxgiQ,Standard,0.0
krqp_NVNkYY,Standard,0.0
_gVcsj8206g,Standard,8.0
y2zjhgxMauM,Standard,0.0
MdZUkFCiDa8,Standard,4.0
dFwDK6id_ag,Standard,6.0
Vj8gGiSBLHI,Standard,6.0
Qp-HrnNaYw0,Standard,0.0
6Q4WRHEH2xM,Standard,0.0
aCCooZCbVPQ,Standard,-1.0
qLIiyoE-7hs,Standard,0.0
GdgIVNSmBDc,Standard,0.0
1o_QpdSX25w,Standard,0.0
04wONrS8MN4,Standard,0.0
eQwTJiYzUiI,Standard,0.0
UBOMl-9dBZo,Standard,0.0
G0GIWaqvdxc,Standard,0.0
TMUW6NN6zEE,Standard,0.0
dI-A35YvKgc,Standard,-1.0
I9PehagUzcA,Standard,0.0
pEq9BmI8IKo,Standard,-1.0
uMuKXBhowrU,Standard,0.0
dIzf_tUBxhE,Standard,0.0
lHRjE0SzMFI,Standard,-1.0
vZQN5HT2MZ0,Standard,-1.0
7Gng8eqjmG0,Standard,0.0
eC4h83eR7g4,Standard,2.0
p_N0yeP2KhY,Standard,4.0
Nsw7YS6rbgg,Standard,-1.0
kHQOd1Gc7Rw,Standard,0.0
1I7ahTbISt4,Standard,0.0
CfrDPKa6O4U,Standard,8.0
stqMpN_ORAI,Reaction,8.0
UkMFVgpnTwY,Standard,0.0
jQfyScuqnZY,Standard,0.0
qe_e2ihgQos,Standard,4.0
dnq2tk1twzY,Standard,0.0
EQEqV3U_WqY,Standard,0.0
IIR-4Ci52sM,Standard,0.0
dEIAsin6mq8,Standard,0.0
4UAV5uzOeMg,Standard,0.0
q761LhU42aY,Standard,6.0
DgnYiHdS_tk,Standard,4.0
gr6IKRiq220,Standard,4.0
HhX0mENj5wM,Standard,0.0
4Q4IhGQPJzI,Standard,0.0
52x6Pbp8nso,Standard,6.0
s2Dg7tKWRAc,Standard,0.0
B8ElBzi47wc,Standard,0.0
nwiH_LoDd4w,Standard,0.0
t0WwJ8vrbnw,Standard,0.0
gPXNRbca_b8,Standard,2.0
TwRrklOPHXE,Standard,4.0
7cvAid7bUbc,Standard,0.0
kqSjc6dzMtI,Standard,6.0
XJoNyXNBd2U,Standard,0.0
DyKvTKD6zaw,Standard,0.0
Jq9qOIivikU,Standard,4.0
weOgNsBSASM,Standard,0.0
Hj8S5rn0_J8,Standard,6.0
yb_RulsHALk,Standard,0.0
tujeRj6QbVM,Standard,0.0
RCKd4CzJ9U0,Standard,0.0
nhdYKv3631M,Standard,6.0
vBoOqTV-fEI,Standard,0.0
j-W_Qgzkwgw,Standard,0.0
OKhtmDI1Evc,Standard,0.0
7zn5DDNjtqc,Standard,0.0
p6CV1YbvUSA,Standard,-1.0
XTgNyrvWmlc,Standard,-1.0
FzMls4y3THE,Standard,0.0
qS5E3WjZ4QY,Standard,0.0
-gGm5fSZQd4,Standard,0.0
90dO-pT_v-4,Standard,0.0
nJsRGzZj9pk,Standard,-1.0
7PHssrF1TRA,Standard,0.0
_TQIFmhY4hQ,Standard,6.0
P0IKo5FGrus,Standard,4.0
_BJZFtUoZwo,Standard,0.0
sYd2OTcu-3s,Standard,-1.0
nKCH30zRpeA,Standard,0.0
I-eiJ91jifo,Standard,8.0
SCizyCgD5LE,Standard,0.0
RDHO-pHzXbA,Standard,0.0
sxvuDjaJong,Standard,0.0
FOUIELhxphc,Standard,6.0
7yc7hUoIF2w,Standard,0.0
spxaEkamLYU,Standard,0.0
bVlN5CkDsUg,Standard,0.0
46UyuI6xeTs,Standard,6.0
PE3lhpYdLpQ,Standard,0.0
RhHTUkDQeVc,Standard,0.0
ifc791vHEbM,Standard,0.0
vtcArfA-OYU,Standard,0.0
qs0TVKLFvLE,Standard,0.0
1rrnOq6t5cg,Standard,4.0
TjW7984WBgA,Standard,0.0
J1-GSf8Kv4k,Standard,6.0
Zy89wAWp-nA,Standard,-1.0
9JCprZ-QDec,Standard,0.0
