video_id,title,description,politics_title,politics_title_desc,politics_final_manual
b1HRetyUIzw,Corona-Pandemie: Bundeskanzler Scholz stellt Öffnungsschritte in Aussicht,"Bundeskanzler Olaf Scholz will beim nächsten Bund-Länder-Treffen am kommenden Mittwoch einen ersten Öffnungsschritt in der Corona-Pandemie angehen. ""Die wissenschaftlichen Prognosen zeigen uns, dass der Höhepunkt der Welle in Sicht ist"", sagte Scholz in einer Ansprache vor dem Bundesrat. ""Das erlaubt uns, beim Bund-Länder Treffen in der nächsten Woche einen ersten Öffnungsschritt und dann weitere für das Frühjahr in den Blick zu nehmen.""

Scholz war zu seinem offiziellen Antrittsbesuch im Bundesrat. Zur Sitzung im Dezember gleich nach seiner Wahl zum Bundeskanzler hatte er wegen einer Auslandsreise nicht kommen können.",1,,1.0
HIiTVd3EReI,Corona-Mutmacher Joe Biden / Berliner Pandemie-Gipfel mit vagem Stufenplan / Nach zehn Jahren ein...,"Für die Bund-Länder-Konferenz heute empfiehlt sich der Blick auf andere Staaten in Sachen Corona: Biden hat die Impfung aller Amerikaner bis Ende Mai versprochen.

***
Unseren neuen Podcast finden Sie auf unserer Website https://www.handelsblatt.com/audio/today/ und überall da, wo es Podcasts gibt.",1,,1.0
rGJsJtKRH1Q,Kopf an Kopf CDU / AFD 📌 Überholt AFD bis zur Wahl die CDU ? 📌Wahlumfrage Sachsen Anhalt Februar,"Sachsen Anhalt Wahlumfrage Februar  - Wie würde Sachsen Anhalt wählen, wenn Sonntag Landtagswahl wäre? Sonntagsfrage Wahlen. AFD, CDU und Bündnis Sarah Wagenknecht BSW , liegen auf den ersten Plätzen. In diesem kurzen Video, erhalten sie einen Überblick, wie die Landtagswahl in Sachsen Anhalt ausgehen würde, wäre diesen Sonntag Wahl.",1,,1.0
7-5g4qev5gI,Der ZDF–Pannen–Song 💥 Satire - Song 2026,"☆★☆ SUNNY HAVE - MUSIKPRODUKTION ☆★☆
➡️Weiterteilen erwünscht! ✔
In der Sendung ZDF heute live vom 8. März 2026 anlässlich der Wahl in Baden-Württemberg wurde viermal dasselbe fehlerhafte Diagramm eingeblendet. Das Tortendiagramm stellt den Anteil der Sitze der AfD eindeutig zu klein dar. Satire - Song zum Nachdenken 🤔
➡ Regelmäßige Neuerscheinungen ➡ Abonnieren und nichts mehr verpassen ✔

Titel: Der ZDF–Pannen–Song
Song und Video KI generiert und bearbeitet

Neue deutsche Schlager / Aktuelle Satire Songs 2026
german dance music, new german songs

#schlager2026 #landstagswahlen #satiresong",-1,1.0,1.0
7lgxKFW2Eag,Addi-Vetter-Cup 2023: Gruppe D / Osnabrücker Sportclub II gegen SC Bosna 1:0,Gruppe D / Osnabrücker Sportclub II gegen SC Bosna 1:0,0,,0.0
K6CDNu5LQgQ,Thomas Tuchel neuer Bayern München Trainer nach Julian Nagelsmann Aus 24 März 2023,Thomas Tuchel wird neuer Bayern München Trainer,0,,0.0
nc_GnsydnsE,Singles Day: Vorhang auf für den glitzy Showkapitalismus!,"Unter Showkapitalismus versteht Sascha Lobo ein wirtschaftliches System, in dem die Inszenierung über allem steht und die eigentliche Hauptsache, der Kauf, eher als Begleiteffekt erscheint. 
 

Ständige Kundenbindung ist wichtiger als der Kauf, der irgendwann sowieso erfolgt. Bei vielen anderen Spielen muss man bezahlen, statt am Ende etwas herauszubekommen. Es geht im Kern um die magische Formel: Showkapitalismus gleich Konsum plus Erlebnis mal Inszenierung. 
 

Es gibt aber aus Sicht liberaler Demokratien einen essenziellen Vorteil, wenn die Show das Produkt überragt: Nie waren Kunden mächtiger und anspruchsvoller als heute. 
 

Im Podcast geht Sascha Lobo auf die Kommentare seiner Leserinnen und Leser ein. Was ist so gut um Showkapitalismus? 
 

ANZEIGE: 
 

Unternehmen müssen einfach clevere Lösungen finden, um die heutigen Anforderungen an Flexibilität und Wirtschaftlichkeit zu erfüllen. Zum Beispiel, um die Ansprüche von Dienstwagen-Nutzern und die Vorgaben aus dem Flottenmanagement miteinander zu verbinden. Mit der ŠKODA Business-Flotte gelingt das problemlos: Die Modell-Auswahl reicht vom kompakten SCALA über den geräumigen SUPERB bis hin zu den SUVs KAROQ und KODIAQ. Günstige Leasingraten machen den Umstieg besonders attraktiv. Weitere Informationen erhalten Sie auch auf skoda.de/businessflotte.


   +++ Alle Infos zu unseren Werbepartnern finden Sie   hier (https://cmk.spiegel.de/cms/articles/16711/anzeige/podcast/hier-gibt-s-weitere-infos-zu-den-angeboten-unserer-werbepartner-innen) . Die SPIEGEL-Gruppe ist nicht für den Inhalt dieser Seite verantwortlich.   +++ 
 

   Mehr Hintergründe zum Thema erhalten Sie mit SPIEGEL+. Entdecken Sie die digitale      Welt des SPIEGEL, unter spiegel.de/abonnieren (https://abo.spiegel.de/microsites/pl/spplus/?sara_at=ac%3A%24%7Bactivity.id%7D_ex%3A%24%7Bcampaign.recipe.id%7   D&sara_ecid=pod_own_MSu4Os5jpsM8hhQ16j95kSI0mSBj9p)  finden Sie das passende Angebot.   
 
 

   Alle SPIEGEL Podcasts finden Sie hier (https://www.spiegel.de/audio/) .   
 

   Den SPIEGEL-WhatsApp-Kanal finden Sie hier (https://www.whatsapp.com/channel/0029VaCcJmDHgZWXoZcsJE3E) . 
 

   Hier (https://shop.spiegel.de/)  geht es zu unserem SPIEGEL Shop.    
 

   Alle Newsletter vom SPIEGEL finden Sie hier (https://www.spiegel.de/newsletter) .    
 

   Hier (https://akademie.spiegel.de/kurse/alle-kurse?sara_ecid=pod_own_hXxO2y5ZoyFACzEGjqe8PSfwGan12Z)  geht es zur SPIEGEL Akademie.    
 

   Sie möchten den SPIEGEL mitgestalten? Registrieren Sie sich bei SPIEGEL Perspektiven (https://panel.gruppe.spiegel.de/?source=37) .   
 
 

   Informationen zu unserer   Datenschutzerklärung (https://www.spiegel.de/datenschutz-spiegel) .",-1,1.0,1.0
eTTiBRcO02M,"Cottbus | Fünfte Jahreszeit gestartet, Kinderkarneval gibt Ausblick auf Session","Es geht auf in die Karnevalsession! In Cottbus sind die Lausitzer Karnevalisten heute um 11.11. Uhr in die fünfte Jahreszeit gestartet. In vielen Orten wurden die Rathäuser mit Musik, Tanz und Witz gestürmt, wie hier in unserer Hochburg Cottbus! Wie es dem Kinderkarneval geht und welche Highlights in dieser Session bevorstehen, erfahrt ihr im Video.  

Mehr Nachrichten, News, Veranstaltungstipps, Fotogalerien und Aktionen aus der Region 

Webseite:
✖️ https://www.niederlausitz-aktuell.de/​
 Facebook:
✖️ https://www.facebook.com/Niederlausit...​
Instagram:
✖️ https://www.instagram.com/nlaktuell​
_____________________________________________________________________________________________________

Azubis und Berufe in Südbrandenburg kennenlernen auf dem Kanal von BennyJob:
✖️ https://www.youtube.com/channel/UC6EG...",0,,0.0
IaNcw5r28-s,Letztzte Vorbereitungen für FCE-Weihnachtssingen 2025 | Weihnachtsmarkt und Bühnenprogramm,"Mehr News, Videos, Eventtipps, NL-Aktionen sowie Social-Media-Content aus unserer Region: 

Webseite:
🟠 https://www.niederlausitz-aktuell.de/​
 Facebook:
🟠 https://www.facebook.com/NiederlausitzAktuell
Instagram:
🟠 https://www.instagram.com/nlaktuell​
_____________________________________________________________________________________________________

Azubis und Berufe in Südbrandenburg kennenlernen auf dem Kanal von BennyJob:
🟠 https://www.youtube.com/@BennyJob

#news #lausitz",0,,0.0
5WHohqZveq4,"WELT TALK SPEZIAL: AfD, Wirtschaft, Migration - Katherina Reiche äußert sich zu brisanten Themen","WELT TALK SPEZIAL: AfD, Wirtschaft, Migration - Katherina Reiche äußert sich zu brisanten Themen

Die Bundeswirtschaftsministerin Katherina Reiche stellt sich im „WELT TALK Spezial“ den Fragen von WELT-Chefredakteur Jan Philipp Burgard. Im Fokus des Gesprächs, stehen die Energiewende, die Förderung erneuerbarer Energien und die Kommunalwahlen in NRW.

#weltnachrichtensender #deutschland #nrw #afd #migration #wirtschaft #cdu #merz #reiche

Abonniere den WELT YouTube Channel https://www.youtube.com/WELTVideoTV
WELT DOKU Channel https://www.youtube.com/c/WELTDoku
WELT Podcast Channel https://www.youtube.com/c/WELTPodcast
WELT Netzreporter Channel https://www.youtube.com/c/DieNetzreporter
Der WELT Nachrichten-Livestream http://bit.ly/2fwuMPg
Die Top-Nachrichten auf WELT.de http://bit.ly/2rQQD9Q
Die Mediathek auf WELT.de http://bit.ly/2Iydxv8
WELT Nachrichtensender auf Instagram https://www.instagram.com/welt.nachrichtensender/
WELT auf Instagram https://www.instagram.com/welt/

In eigener Sache: Wegen des hohen Aufkommens unsachlicher und beleidigender Beiträge können wir zurzeit keine Kommentare mehr zulassen. 

Danke für euer Verständnis - das WELT-Team

Video 2025 erstellt",1,,1.0
wHQVmzib--g,„Wo stünde unser Land wohl ohne AfD und Deutschland-Kurier?“ | Juliane Waehler,"Hat IHNEN dieser Beitrag gefallen? Dann unterstützen SIE den Deutschland-Kurier🇩🇪 mit IHRER Spende:

https://deutschlandkurier.de/unterstuetzen/

https://www.paypal.com/donate/?hosted_button_id=8EPE8MGZXXUVU

Bankverbindung:
IBAN: DE62 1001 0123 0022 1925 43
BIC/SWIFT: QNTODEB2XXX
Kontoinhaber: Conservare Communication GmbH / Deutschland-Kurier

—— —— ——

Shop: https://c.kopp-verlag.de/kopp,verlag_4.html?1=782&3=0&4=&5=&d=https%3A%2F%2Fwww.kopp-verlag.de

Unsere App bekommen Sie hier: 

App-Store: 
https://apps.apple.com/us/app/deutschlandkurier/id6447972597

Play-Store:
https://play.google.com/store/apps/details?id=de.deutschlandkurier.newsapp

Besuchen Sie auch die DK-Seite im Netz: https://deutschlandkurier.de/

Bitte folgen Sie dem Deutschland-Kurier 🇩🇪 auch auf ➠ 

Telegram:               https://t.me/DEKurier
Facebook:               https://www.facebook.com/DK.Nachrichten
Instagram:              https://www.instagram.com/deutschlandkurier/
TikTok:                    https://www.tiktok.com/@deutschland.kurier
Gettr:                       https://www.gettr.com/user/deu_kurier
Twitter:                    https://twitter.com/Deu_Kurier
Odysee:                   https://odysee.com/$/invite/@deutschlandkurier:2
Telegram Video:    https://t.me/DeutschlandKURIERVideo
VK:                           https://vk.ru/deutschlandkurier",1,,1.0
zrik5yx24vY,⚡   VON DER LEYEN DROHT MIT ANZEIGE!? ⚡,"⚡   VON DER LEYEN DROHT MIT ANZEIGE!? ⚡  BLITZMELDUNG! Politik aktuelle Nachrichten zusammengefasst! Unfassbar was in Deutschland mit der AMPEL passiert! Aktuellste Eilmeldung und Blitzmeldung! Nachrichten aktuell: AFD Wahlrekord! Habeck Rücktritt & Baerbock Rücktritt nur noch Frage der Zeit! Die Ampel zerbricht genau jetzt!? Energiekrise, Außenpolitik & Scholz Cum Ex entlarvt! Aktuellste News & Eilmeldung über Alice Weidel, Tino Chrupalla, AMPEL Politik & Mehr! UNFASSBARE ENTWICKLUNGEN! #viral #blitzmeldung #eilmeldung

UNSERE WHATSAPP GRUPPE UM ALLE VIDEOS ZU SEHEN: https://whatsapp.com/channel/0029VaiJd7G1yT2DYQmy9S2n


------------

VORSORGE CHECKLISTE:

Perfekt vorbereitet auf den Notfall: https://www.checkout-ds24.com/product/537522 (Patientenverfügung, Vorsorgevollmacht, Notfallpass, Blackout Checkliste, Vollmacht für Finanzangelegenheiten, Testament, ...) (Werbung)


------------

Wichtige Schlagwörter

#geldanlage #demokonto #demodepot #demobroker #forexbroker #forexhandel #wirtschaftaktuell #wirtschaft #wirtschaftsnachrichten #finanzstrategie #prognosen #nachrichten #vermögenssicherung #bitcoin #geld #wirtschaftaktuell #geldanlage #news #gold #goldkaufen #aktienkaufen #dirkmüller #cashkurs #waskommt #finanzen #finanzcommunity #richtiginvestieren #etoro #etorotrading #etoroerfahrung #bitcoin #bitcoinkaufen #kryptowährungen #kryptowährung #bitcoins #trading #bitcointrading #wirtschaftsnews #bitcoinkaufen #aktienkaufen #welcheaktienkaufen #geldanlage #negativzinsen #krypto #kryptos #geldanlegen #finanzwelt #money

---------------------------

Allgemeiner Hinweis

In der Infobox können Affiliate Links verwendet werden. Falls der Besucher über diese Links einen Kauf tätigt, kann eine Provision für den Videoproduzent als Unterstützung des Kanals. Es erfolgt keine Anlageberatung. Jeder ist für seine Strategien selbst verantwortlich. Es ist ein Totalverlust möglich. Es kann keine Garantie für die Richtigkeit und Vollständigkeit der Inhalte gewährt werden.


https://whatsapp.com/channel/0029VaiJd7G1yT2DYQmy9S2n",1,,1.0
Fca727-2a0U,Soziale Medien: Verbot oder Freiheit?,Generelles Verbot oder gezielte Regeln? In der Debatte um Social Media wächst die Kritik an pauschalen Sperren – stattdessen rückt Medienkompetenz stärker in den Mittelpunkt. Mehr dazu von Ralph Schöllhammer in #exxpresslive!,-1,1.0,1.0
xHQglskfedE,Wen wundert's : Grüne kriminell und intolerant,"**Skandal bei den Grünen: Betrug 130.000€**
Quellen:
https://apollo-news.net/gruenen-anhaenger-sind-am-intolerantesten-gegenueber-anderen-meinungen/
https://apollo-news.net/gehaltstrick-der-grnen-fliegt-auf-130-000-euro-nachzahlung-an-die-rentenversicherung/
#diegrünen #betrug #zensur 
Jetzt auch auf telegram: https://t.me/warum_kritischmitlil 
Dir gefällt meine Arbeit und du möchtest mich unterstützen? Dann kannst du das gern hier tun:
Überweisung: 
Korfmacher, IBAN: DE59 31060517 4207803010; BIC:GENODED1MRB
Paypal:
https://www.paypal.com/paypalme/warumkritisch
You Tube Super thanks (Button unter meinem Video)
Herzlichen Dank.",1,,1.0
YPC_ZYFZTE8,Neue Vorwürfe: WKStA will Auslieferung Sobotkas | krone.tv NEWS,"Wieder Wirbel um den Nationalratspräsidenten! Wie am Mittwoch bekannt wurde, fordert die Wirtschafts- und Korruptionsanwaltschaft die Aufhebung der Immunität von Wolfgang Sobotka (ÖVP), um gegen ihn ermitteln zu können.",-1,1.0,1.0
4-yZA3m5sMI,Oligarchen-Jacht durchquert Straße von Hormuz | krone.tv NEWS,"Einer Superjacht eines russischen Oligarchen ist offenbar die Durchfahrt der eigentlich blockierten Straße von Hormuz geglückt. Der 500-Millionen-Dollar teure, schwimmende Luxustempel gehört Alexei Mordaschow, der unter anderem Großaktionär des Touristikkonzerns TUI sowie Hauptaktionär des russischen Goldbergbauunternehmens Nordgold ist.",-1,1.0,1.0
rqvFXwqC2sE,"05.11.2023 #Berlin ""Wacht endlich auf!"" #b0511",,-1,1.0,1.0
