video_id,title,description
UuoAwddECPg,"The Mission (pre- Fields Of The Nephilim) - ""Is It Real"" (Embryo ""Darkcell"")","""Is It Real"" was recorded by The Mission in early 1984. This transformed into the widely known ""Darkcell"" later that year when the band re-christened themselves Fields Of The Nephilim after recruiting Carl McCoy."
R2maZmMaiFQ,Warum der Stromnetzausbau so wichtig ist - logo! erklärt - ZDFtivi,"Das Stromnetz in Deutschland wird immer weiter ausgebaut. Das ist auch für den Klimaschutz wichtig. Warum das so ist, erklären wir euch. 
Mehr Videos auch auf der logo!-Seite: 
https://www.zdf.de/kinder/logo/#xtor=CS3-74"
Ta3x9dgnrxY,Hohes Haus: Gesundheitssprecherin der ÖVP zur Impfpflicht (20.2.2022),"Hallo. Hier gibt es für euch ein weiteres ""Hohes Haus""-Interview auf meinem Kanal. In der Ausgabe vom 20.2.2022 war Gaby Schwarz zu Gast in der Sendung. Gute Unterhaltung!
Website der Sendung: https://der.orf.at/unternehmen/programmangebote/fernsehen/sendungen/sendungen-h-k/hohes-haus100.html"
v-txtSSCHPE,"Schilling vs. Strache: „Merz ist nach Ergebnis im Liegen umgefallen“ | krone.tv ""Das Duell""","Deutschland hat gewählt – verschiebt sich jetzt ganz Europa nach rechts? 🇩🇪➡️🇪🇺 Und wie kann die EU ihre wirtschaftliche Stärke zurückgewinnen? Diese brisanten Fragen diskutiert Jana Pasching mit der EU-Abgeordneten Lena Schilling und dem ehemaligen FPÖ-Chef Heinz-Christian Strache. 💬💥

📌 Wie verändert die Wahl das politische Gleichgewicht?
📌 Welche Strategien braucht Europa für mehr wirtschaftlichen Erfolg?
📌 Ist eine weitere Rechtsverschiebung unausweichlich?

📺 Jetzt die spannende Debatte ansehen!
📢 Schreib deine Meinung in die Kommentare: Droht Europa ein Rechtsruck?

#DeutschlandWahl #EU #Politik #Rechtsruck #Strache #Schilling #KroneTV #Europa #Wirtschaft"
4fhDSV-aQsA,🔥 BERLIN BEBT🔥 EXKLUSIV Serge Menga 🔥 Interview Berlin Demo 🔥,"#berlin #demo #sergemenga #afd #deutschlandstehtauf #politik 
@SergeMengaNsibu1977 
🔔 Abonniere unseren Kanal:
https://www.youtube.com/channel/UCurhHQ_5JN-QzLNuO52EwOQ?sub_confirmation=1
🕵️ Werde Kanalmitglied:
https://www.youtube.com/channel/UCurhHQ_5JN-QzLNuO52EwOQ/join. 
💸 Zusätzlich unterstützen:
Mit deiner Spende über PayPal hilfst du uns, 
weiterhin unabhängige politische Inhalte zu schaffen. 
https://www.paypal.com/donate/?hosted_button_id=YGXFKRUERHJ2A
-----------------------------------------------------------------------------------------------------------------------------------------
📚 Empfohlene Bücher:
Peter Hahne: Ist das euer Ernst
https://amzn.to/3TUghIq
Marc Friedrich: Die größte Revolution aller Zeiten ...
https://amzn.to/4dGwKXU
Markus Krall: Die Stunde Null: Ein neues Wirtschaftswunder ist möglich
https://amzn.to/4dDDaqN
Alice Weidel: Plassen Verlag Widerworte: Gedanken über Deutschland
https://amzn.to/4eSOikM
Hinweis: Dies ist ein Affiliate-Link. Wir erhalten eine kleine Provision, wenn du darüber einkaufst. Für dich entstehen keine zusätzlichen Kosten.
-----------------------------------------------------------------------------------------------------------------------------------------
🎥 Willkommen auf ""Politik im Fokus""!
Hier dreht sich alles um Politik in Deutschland. Ich bin Philipp, euer Moderator. Wir bieten spannende und informative Inhalte zur aktuellen politischen Lage, Bundestagsentwicklungen und beleuchten kritisch Themen wie den Aufstieg der AfD und politische Unwahrheiten. Unser Ziel? Euch gut informieren und zu engagierten Bürgern machen! 🇩🇪✨
-----------------------------------------------------------------------------------------------------------------------------------------
👍 Like und teile das Video:
Wenn dir unser Inhalt gefällt, zeige deine Unterstützung mit einem Daumen hoch und teile das Video mit deinen Freunden und auf Social Media!

💬 Teile deine Meinung:
Deine Gedanken und Fragen sind uns wichtig! Hinterlasse einen Kommentar und lass uns wissen, was du denkst.

FOLGT UNS AUF:
Telegram: https://t.me/PolitikimFokusYT
Instagram: https://www.instagram.com/politikimfokusyoutube/
Twitter (X): https://twitter.com/PolitikimFokus 
TikTok: https://www.tiktok.com/@politikimfokus)"
RJehReeStk8,"Über Prostitution, mit Kali - 99 ZU EINS Ep. 102","Prostitution? Sex Work? Mit @Kali_im_Exil sprechen wir über die Realität dieses Geschäfts und warum eine linke Position zur Prostitution sich von einer links-liberalen Position unterscheiden muss.

Link zum Film ""Irreführung"": https://www.stoppsexkauf.at/2021/10/07/eine-weitere-irrefuehrung/

Link zu Kali's Twitter Account: https://twitter.com/Kali_im_Exil

Wir sind 99 ZU EINS! Ein Podcast mit Kommentaren zu aktuellen Geschehnissen, sowie Analysen und Interviews zu den wichtigsten politischen Aufgaben unserer Zeit.#leftisbest #linksbringts #machsmitlinks

Wir brauchen eure Hilfe! So könnt ihr uns unterstützen:
1. Bitte abonniert unseren Kanal und liked unsere Videos. 
2. Teil unseren content auf social media und folgt uns auch auf Twitter, Instagram und FB
3. Wenn ihr Zugang zu unserer Discord-Community, sowie exklusive After-Show Episoden und Einladungen in unsere Livestreams bekommen wollt, dann unterstützt uns doch bitte auf Patreon: www.patreon.com/99zueins
4. Wir empfangen auch Spenden unter: https://www.paypal.com/donate?hosted_button_id=C78L7DJ5J2AVS"
vvx2gQArXrc,Theater mit den Füßen: Eine ganz besondere Aufführung,"Was steckt hinter ""Fußtheater""?

Anne Klinge ist eine Künstlerin aus Franken. Sie hat eine ganz besondere Form des Theaters entwickelt: das Fußtheater. Dabei nutzt sie ihre Füße, um Geschichten zu erzählen. Mit Hilfe von kleinen Kostümen und Accessoires verwandeln sich ihre Füße in verschiedene Figuren, die auf der Bühne lebendig werden.

In ihren Stücken geht es um unterschiedliche Themen – von Märchen über Beziehungsdramen bis hin zu humorvollen Alltagsgeschichten. Mit der besonderen Theaterform tritt sie nicht nur in Deutschland auf, sondern auch international. Bekannt wurde sie unter anderem durch ihren Auftritt bei der britischen Talentshow „Britain’s Got Talent“ im Jahr 2016, der weltweit Aufmerksamkeit erregte."
2K1Q2dKq9aA,Körperbehaarung: Ja oder Nein? | maintower,"Die einen haben nahezu eine Haar-Phobie und waxen, rasieren oder epilieren fast täglich, andere lassen ihren Körper gerne natürlich.  Körperbehaarung war lange verpönt, erlebt jetzt aber ein Revival. Man soll so sein, wie man möchte. Gilt das auch für die Körperbehaarung?
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ 
📺Mehr aktuelle Inhalte des Hessischen Rundfunks findet ihr hier: 
https://1.ard.de/hr_in_der_ARD_Mediathek?p=yt 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ 
📰Aktuelle Informationen zu Ereignissen in Hessen findet ihr hier: 
https://1.ard.de/hessenschau_de?p=yt 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ 
📰Aktuelle Informationen zu Ereignissen in Deutschland findet ihr hier: 
https://1.ard.de/tagesschau_de?p=yt
 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ 
📲Ihr wollt nichts verpassen? Folgt unseren Social Media Kanälen: 
hessenschau auf Instagram: https://1.ard.de/hessenschau_Instagram?p=yt 

hrfernsehen auf Instagram: https://1.ard.de/hrfernsehen_Instagram?p=yt 
hessenschau auf Facebook: https://1.ard.de/hessenschau_facebook?p=yt 
hrfernsehen auf Facebook: https://1.ard.de/hrfernsehen_facebook?p=yt

#Körperbehaarung #Haare #Rasur"
an8gZcqaFY4,MAILAND AUSSCHREITUNGEN: Pro-Palästina Gewalt und UN-Anerkennung Palästinas eskaliert! #shorts,"MAILAND AUSSCHREITUNGEN: Pro-palästinensische Gewalt und UN-Anerkennung Palästinas eskaliert! #shorts 

Brutale Ausschreitungen im Mailänder Hauptbahnhof: pro-palästinensische Demonstranten demolieren Geschäfte und Gebäude. Szenen, die Europa bereits kennt – von Frankreich bis Belgien. Im UN-Saal in New York wird die Isolation Israels sichtbar: Kanada, Großbritannien, Belgien und Frankreich haben Palästina anerkannt. Jubel bei den Palästinensern, Israel verlässt den Saal. Doch Hamas kann dies als Erfolg verkaufen – trotz Terror und Gewalt.

#weltnachrichtensender #shorts #nahostkonflikt #un

Abonniere den WELT YouTube Channel https://www.youtube.com/WELTVideoTV
WELT DOKU Channel https://www.youtube.com/c/WELTDoku
WELT Podcast Channel https://www.youtube.com/c/WELTPodcast
WELT Netzreporter Channel https://www.youtube.com/c/DieNetzreporter
Der WELT Nachrichten-Livestream http://bit.ly/2fwuMPg
Die Top-Nachrichten auf WELT.de http://bit.ly/2rQQD9Q
Die Mediathek auf WELT.de http://bit.ly/2Iydxv8
WELT Nachrichtensender auf Instagram https://www.instagram.com/welt.nachrichtensender/
WELT auf Instagram https://www.instagram.com/welt/

In eigener Sache: Wegen des hohen Aufkommens unsachlicher und beleidigender Beiträge können wir zurzeit keine Kommentare mehr zulassen. 

Danke für euer Verständnis - das WELT-Team

Video 2025 erstellt"
8MuphKEjgXc,"Unterwegs in Afghanistan: »Eine surreale, absurde Reise« | DER SPIEGEL","Wie recherchiert man im Land der Taliban? Unterwegs in Afghanistans Hinterland mit den SPIEGEL-Reportern Christoph Reuter und Thore Schröder – auf gefährlichen Straßen, durch unfassbar schöne Landschaften.

SPIEGEL TV 
Facebook: https://www.facebook.com/SPIEGEL.TV
Twitter: https://twitter.com/SPIEGELTV
TikTok: https://www.tiktok.com/@spiegeltv?

DER SPIEGEL
Instagram: https://www.instagram.com/spiegelmagazin/
Facebook: https://www.facebook.com/derspiegel/
Twitter: https://twitter.com/derspiegel
Snapchat: https://story.snapchat.com/p/892f2e42-0bde-43f6-b8fc-2f8610dd6f7a
Xing: https://www.xing.com/news/pages/spiegel-job-karriere-1697
Linkedin: https://www.linkedin.com/company/der-spiegel/

DER SPIEGEL IM ABO: https://abo.spiegel.de/

Willkommen auf dem YouTube-Kanal von SPIEGEL TV und DER SPIEGEL. Hier findest Du SPIEGEL TV-Reportagen und DER SPIEGEL-Videos zu aktuellen Themen aus den Bereichen Politik, Wirtschaft, Gesellschaft, Sport und Wissenschaft.

Impressum: https://www.spiegel.de/impressum"
i5i9lH6mgCs,SpongeBob | 60+ MINUTEN der witzigsten Momente aus den NEUEN SpongeBob-Folgen! | Nickelodeon,"Begleitet SpongeBob und seine Freunde in dieser witzigen Sammlung der lustigsten Momente aus den brandneuen Folgen! Macht euch bereit auf unendliches Kichern, alberne Streiche und schräge Abenteuer in Bikini Bottom.

Abonniere unseren Kanal, um noch mehr von deinen Nickelodeon-Lieblingsserien wie Spongebob Schwammkopf, Teenage Mutant Ninja Turtles und Henry Danger zu schauen!

Noch mehr Spaß, Videos und Spiele gibt's auf unserer Website: http://www.nick.de
 
Nickelodeon auf Facebook: https://www.facebook.com/nickelodeondeutschland/
Nickelodeon auf Instagram: https://www.instagram.com/nickelodeondeutsch/

#SpongeBob #SpongeBobSchwammkopf #Lustig #Zeichentrick #Nickelodeon #Deutsch"
